Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;30/12/2015;6.566,539;6.852,407;6.553,047;6.736,036;10.941.344.481,99;163.090
WDOFUT;29/12/2015;6.592,633;6.642,945;6.554,259;6.596,897;11.093.078.973,74;168.216
WDOFUT;28/12/2015;6.762,331;6.769,153;6.583,253;6.590,075;11.494.756.368,11;172.605
WDOFUT;23/12/2015;6.822,024;6.828,846;6.734,190;6.738,454;9.776.610.187,40;144.238
WDOFUT;22/12/2015;6.836,520;6.868,072;6.790,472;6.829,698;14.177.103.597,45;207.749
WDOFUT;21/12/2015;6.822,876;6.911,563;6.778,533;6.856,986;15.438.265.173,06;225.608
WDOFUT;18/12/2015;6.706,049;6.822,024;6.636,123;6.821,171;18.698.026.061,04;278.633
WDOFUT;17/12/2015;6.675,350;6.709,460;6.608,835;6.635,271;18.085.878.709,14;271.351
WDOFUT;16/12/2015;6.702,638;6.792,177;6.642,093;6.642,093;21.187.610.491,87;314.361
WDOFUT;15/12/2015;6.635,271;6.700,933;6.596,897;6.630,154;17.188.170.533,91;258.546
WDOFUT;14/12/2015;6.625,890;6.727,368;6.613,952;6.641,240;16.218.254.258,32;242.819
WDOFUT;11/12/2015;6.581,547;6.667,675;6.562,787;6.642,945;19.644.559.399,01;296.631
WDOFUT;10/12/2015;6.436,579;6.547,437;6.427,199;6.540,615;16.125.129.509,76;248.832
WDOFUT;09/12/2015;6.474,100;6.499,683;6.378,592;6.436,579;17.418.606.286,00;270.736
WDOFUT;08/12/2015;6.478,364;6.561,081;6.432,315;6.519,296;17.110.575.866,10;262.603
WDOFUT;07/12/2015;6.480,922;6.492,861;6.410,144;6.480,070;12.394.629.444,29;191.977
WDOFUT;04/12/2015;6.476,659;6.515,032;6.404,175;6.458,751;14.831.439.340,61;229.709
WDOFUT;03/12/2015;6.532,088;6.600,308;6.422,935;6.461,309;17.961.775.074,96;275.965
WDOFUT;02/12/2015;6.660,000;6.670,234;6.578,136;6.602,866;16.274.326.013,23;245.530
WDOFUT;01/12/2015;6.640,387;6.718,840;6.583,253;6.627,596;16.071.621.829,45;241.614
WDOFUT;30/11/2015;6.685,583;6.752,098;6.591,780;6.659,148;13.450.437.614,13;201.126
WDOFUT;27/11/2015;6.478,875;6.621,627;6.395,459;6.621,627;13.613.774.737,90;210.280
WDOFUT;26/11/2015;6.458,236;6.489,194;6.427,278;6.451,356;7.294.465.825,30;112.850
WDOFUT;25/11/2015;6.442,757;6.551,971;6.423,838;6.458,236;14.691.697.799,00;226.567
WDOFUT;24/11/2015;6.429,857;6.449,636;6.361,061;6.367,081;10.757.555.920,34;168.282
WDOFUT;23/11/2015;6.412,658;6.447,916;6.386,860;6.429,857;10.879.711.713,52;169.508
WDOFUT;19/11/2015;6.468,555;6.491,774;6.409,219;6.422,118;13.085.255.336,19;202.874
WDOFUT;18/11/2015;6.576,049;6.581,209;6.496,934;6.505,533;12.448.900.715,93;190.228
WDOFUT;17/11/2015;6.587,229;6.607,007;6.540,791;6.592,388;11.524.118.223,12;175.241
WDOFUT;16/11/2015;6.645,705;6.670,644;6.588,948;6.606,147;11.639.865.520,09;175.720
WDOFUT;13/11/2015;6.539,931;6.656,025;6.522,732;6.651,725;15.424.281.242,12;234.169
WDOFUT;12/11/2015;6.488,334;6.618,187;6.471,135;6.524,452;13.364.173.245,84;203.733
WDOFUT;11/11/2015;6.487,474;6.553,690;6.413,518;6.520,152;14.805.235.123,80;228.190
WDOFUT;10/11/2015;6.578,629;6.616,467;6.461,676;6.484,034;12.393.254.767,52;188.839
WDOFUT;09/11/2015;6.544,231;6.587,229;6.521,872;6.581,209;11.623.226.017,43;176.991
WDOFUT;06/11/2015;6.563,150;6.655,165;6.499,513;6.533,912;14.686.768.771,96;223.036
WDOFUT;05/11/2015;6.592,388;6.613,027;6.526,172;6.544,231;13.437.875.527,21;204.797
WDOFUT;04/11/2015;6.540,791;6.615,607;6.496,934;6.581,209;17.307.639.544,28;263.882
WDOFUT;03/11/2015;6.674,084;6.691,283;6.492,634;6.545,951;15.729.238.706,94;239.058
