Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;30/12/2019;18:00:00;5.421,611;5.424,977;5.416,899;5.418,919;576.761.913,62;10.640
WDOFUT;30/12/2019;17:30:00;5.406,129;5.424,304;5.406,129;5.422,285;1.228.553.415,14;22.686
WDOFUT;30/12/2019;17:00:00;5.408,148;5.410,168;5.404,109;5.406,802;1.007.244.007,31;18.629
WDOFUT;30/12/2019;16:30:00;5.413,533;5.415,553;5.405,456;5.407,475;1.632.584.635,66;30.184
WDOFUT;30/12/2019;16:00:00;5.416,226;5.420,265;5.412,860;5.413,533;885.626.305,77;16.351
WDOFUT;30/12/2019;15:30:00;5.416,226;5.421,611;5.413,533;5.416,226;1.472.661.425,69;27.184
WDOFUT;30/12/2019;15:00:00;5.412,187;5.417,572;5.410,168;5.415,553;1.306.472.680,14;24.132
WDOFUT;30/12/2019;14:30:00;5.412,860;5.414,207;5.410,168;5.411,514;823.571.534,51;15.216
WDOFUT;30/12/2019;14:00:00;5.413,533;5.416,899;5.408,821;5.413,533;1.565.866.336,23;28.926
WDOFUT;30/12/2019;13:30:00;5.413,533;5.418,246;5.403,436;5.412,860;2.565.498.775,48;47.418
WDOFUT;30/12/2019;13:00:00;5.422,958;5.422,958;5.413,533;5.414,207;1.663.727.471,18;30.712
WDOFUT;30/12/2019;12:30:00;5.423,631;5.427,670;5.419,592;5.422,958;1.280.988.380,52;23.620
WDOFUT;30/12/2019;12:00:00;5.437,767;5.437,767;5.420,265;5.422,958;3.843.083.072,04;70.807
WDOFUT;30/12/2019;11:30:00;5.441,133;5.449,884;5.436,421;5.437,767;2.030.804.641,41;37.299
WDOFUT;30/12/2019;11:00:00;5.441,133;5.446,518;5.439,113;5.441,806;2.245.728.375,22;41.259
WDOFUT;30/12/2019;10:30:00;5.441,133;5.444,499;5.437,767;5.441,133;1.629.160.101,17;29.942
WDOFUT;30/12/2019;10:00:00;5.434,401;5.443,152;5.433,728;5.441,133;1.983.224.596,38;36.469
WDOFUT;30/12/2019;09:30:00;5.434,401;5.437,767;5.430,362;5.435,075;1.735.817.716,40;31.944
WDOFUT;30/12/2019;09:00:00;5.439,787;5.453,923;5.432,382;5.435,075;3.201.554.423,66;58.855
WDOFUT;27/12/2019;18:00:00;5.457,295;5.459,318;5.453,923;5.453,923;556.745.474,51;10.204
WDOFUT;27/12/2019;17:30:00;5.462,016;5.462,690;5.455,946;5.457,295;1.342.547.382,46;24.593
WDOFUT;27/12/2019;17:00:00;5.461,341;5.462,690;5.458,644;5.462,016;818.777.133,81;14.993
WDOFUT;27/12/2019;16:30:00;5.461,341;5.462,016;5.457,969;5.460,667;1.326.831.485,79;24.301
WDOFUT;27/12/2019;16:00:00;5.455,272;5.464,039;5.454,597;5.461,341;2.248.980.832,62;41.187
WDOFUT;27/12/2019;15:30:00;5.460,667;5.461,341;5.453,249;5.454,597;2.175.717.504,49;39.873
WDOFUT;27/12/2019;15:00:00;5.460,667;5.462,690;5.457,969;5.459,993;1.309.318.923,81;23.981
WDOFUT;27/12/2019;14:30:00;5.462,690;5.467,411;5.459,993;5.460,667;1.910.860.312,52;34.978
WDOFUT;27/12/2019;14:00:00;5.463,365;5.466,062;5.457,969;5.462,690;2.125.344.743,36;38.909
WDOFUT;27/12/2019;13:30:00;5.462,690;5.464,713;5.455,946;5.463,365;2.059.262.667,76;37.712
WDOFUT;27/12/2019;13:00:00;5.469,434;5.469,434;5.457,969;5.462,690;2.965.291.393,27;54.275
WDOFUT;27/12/2019;12:30:00;5.470,109;5.472,132;5.465,388;5.468,760;1.937.668.929,99;35.432
WDOFUT;27/12/2019;12:00:00;5.472,132;5.474,155;5.465,388;5.469,434;2.463.419.943,35;45.036
WDOFUT;27/12/2019;11:30:00;5.472,132;5.475,504;5.468,085;5.472,806;2.504.738.430,37;45.774
WDOFUT;27/12/2019;11:00:00;5.473,481;5.476,853;5.468,760;5.472,132;2.448.230.596,07;44.741
WDOFUT;27/12/2019;10:30:00;5.464,039;5.474,830;5.460,667;5.472,806;4.414.323.339,62;80.742
WDOFUT;27/12/2019;10:00:00;5.457,295;5.464,713;5.455,946;5.464,039;3.579.778.831,71;65.554
