Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;26/12/2023;4.848,000;4.889,000;4.798,500;4.867,500;302.143.137.415,00;6.242.098
WDOFUT;18/12/2023;4.939,500;4.953,000;4.846,500;4.858,000;591.943.439.785,00;12.120.734
WDOFUT;11/12/2023;4.942,500;4.981,000;4.880,500;4.940,000;679.217.872.530,00;13.752.886
WDOFUT;04/12/2023;4.907,000;4.979,000;4.890,000;4.938,000;616.736.676.080,00;12.508.723
WDOFUT;27/11/2023;4.902,000;4.960,000;4.858,500;4.894,000;727.186.823.360,00;14.820.935
WDOFUT;20/11/2023;4.901,000;4.924,000;4.847,500;4.899,500;534.831.610.215,00;10.934.938
WDOFUT;13/11/2023;4.920,000;4.952,500;4.845,000;4.912,000;516.854.365.200,00;10.569.456
WDOFUT;06/11/2023;4.909,000;4.966,000;4.871,500;4.913,000;639.952.773.625,00;13.030.489
WDOFUT;30/10/2023;4.995,000;5.089,000;4.892,000;4.918,000;683.834.988.950,00;13.651.520
WDOFUT;23/10/2023;5.055,000;5.060,500;4.932,500;5.018,500;861.883.342.505,00;17.233.103
WDOFUT;16/10/2023;5.066,000;5.107,000;5.020,000;5.040,000;829.979.431.915,00;16.406.256
WDOFUT;09/10/2023;5.192,000;5.199,500;5.043,500;5.093,000;628.038.753.200,00;12.308.056
WDOFUT;02/10/2023;5.088,000;5.237,000;5.057,500;5.163,000;984.763.254.240,00;19.099.536
WDOFUT;25/09/2023;4.949,000;5.079,500;4.940,500;5.057,000;862.777.634.280,00;17.199.943
WDOFUT;18/09/2023;4.884,000;4.945,500;4.848,000;4.940,500;639.978.749.940,00;13.084.792
WDOFUT;11/09/2023;4.977,000;4.987,500;4.870,000;4.880,000;631.536.642.490,00;12.827.719
WDOFUT;04/09/2023;4.955,000;5.014,000;4.927,500;5.005,000;454.800.943.645,00;9.123.236
WDOFUT;28/08/2023;4.880,500;4.982,000;4.844,000;4.967,500;727.174.576.395,00;14.811.344
WDOFUT;21/08/2023;4.980,000;5.007,500;4.853,000;4.877,000;638.147.982.445,00;12.976.838
WDOFUT;14/08/2023;4.932,000;5.014,500;4.928,500;4.982,000;683.926.725.340,00;13.712.723
