Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOJ26;30/12/2025;17:50:00;5.610,000;5.610,000;5.607,000;5.607,000;504.675,00;9
WDOJ26;30/12/2025;17:15:00;5.610,000;5.610,000;5.610,000;5.610,000;56.100,00;1
WDOJ26;30/12/2025;16:50:00;5.612,000;5.612,000;5.612,000;5.612,000;56.120,00;1
WDOJ26;30/12/2025;16:30:00;5.614,000;5.614,000;5.614,000;5.614,000;56.140,00;1
WDOJ26;30/12/2025;14:45:00;5.609,000;5.609,000;5.609,000;5.609,000;56.090,00;1
WDOJ26;30/12/2025;13:20:00;5.611,000;5.611,000;5.611,000;5.611,000;56.110,00;1
WDOJ26;30/12/2025;11:45:00;5.613,000;5.613,000;5.613,000;5.613,000;56.130,00;1
WDOJ26;30/12/2025;10:40:00;5.620,000;5.620,000;5.620,000;5.620,000;56.200,00;1
WDOJ26;30/12/2025;10:35:00;5.624,000;5.624,000;5.624,000;5.624,000;56.240,00;1
WDOJ26;30/12/2025;10:20:00;5.628,000;5.628,000;5.626,000;5.626,000;112.540,00;2
WDOJ26;30/12/2025;09:20:00;5.649,500;5.649,500;5.649,500;5.649,500;56.495,00;1
WDOJ26;30/12/2025;09:10:00;5.665,000;5.665,000;5.659,000;5.659,000;169.855,00;3
WDOJ26;30/12/2025;09:05:00;5.675,000;5.675,000;5.669,000;5.669,000;226.880,00;4
WDOJ26;30/12/2025;09:00:00;5.681,000;5.681,000;5.679,000;5.679,000;113.600,00;2
WDOJ26;29/12/2025;18:20:00;5.694,000;5.694,000;5.694,000;5.694,000;56.940,00;1
WDOJ26;29/12/2025;17:55:00;5.694,000;5.694,000;5.694,000;5.694,000;56.940,00;1
WDOJ26;29/12/2025;17:10:00;5.684,500;5.684,500;5.684,500;5.684,500;56.845,00;1
WDOJ26;29/12/2025;17:05:00;5.686,500;5.686,500;5.686,500;5.686,500;56.865,00;1
WDOJ26;29/12/2025;17:00:00;5.688,500;5.688,500;5.688,500;5.688,500;56.885,00;1
WDOJ26;29/12/2025;16:55:00;5.694,500;5.694,500;5.690,500;5.690,500;170.775,00;3
WDOJ26;29/12/2025;16:50:00;5.703,500;5.703,500;5.697,500;5.697,500;228.020,00;4
WDOJ26;23/12/2025;18:15:00;5.646,500;5.646,500;5.646,500;5.646,500;56.465,00;1
WDOJ26;23/12/2025;16:05:00;5.656,500;5.656,500;5.656,500;5.656,500;56.565,00;1
WDOJ26;23/12/2025;10:35:00;5.708,500;5.708,500;5.707,500;5.707,500;114.160,00;2
WDOJ26;23/12/2025;10:20:00;5.706,000;5.706,000;5.706,000;5.706,000;57.060,00;1
WDOJ26;23/12/2025;10:15:00;5.707,000;5.707,000;5.707,000;5.707,000;57.070,00;1
WDOJ26;23/12/2025;09:40:00;5.709,000;5.709,000;5.708,000;5.708,000;114.170,00;2
WDOJ26;23/12/2025;09:15:00;5.709,500;5.709,500;5.707,500;5.707,500;171.255,00;3
WDOJ26;23/12/2025;09:00:00;5.713,000;5.713,000;5.709,500;5.709,500;171.355,00;3
WDOJ26;22/12/2025;16:15:00;5.706,500;5.706,500;5.705,500;5.705,500;114.120,00;2
WDOJ26;22/12/2025;16:10:00;5.709,500;5.709,500;5.707,500;5.707,500;171.255,00;3
WDOJ26;22/12/2025;15:50:00;5.714,500;5.714,500;5.710,500;5.710,500;285.625,00;5
WDOJ26;22/12/2025;14:45:00;5.715,000;5.715,000;5.715,000;5.715,000;57.150,00;1
WDOJ26;22/12/2025;14:40:00;5.716,000;5.716,000;5.716,000;5.716,000;57.160,00;1
WDOJ26;22/12/2025;12:40:00;5.675,000;5.675,000;5.675,000;5.675,000;56.750,00;1
WDOJ26;22/12/2025;09:15:00;5.640,000;5.640,000;5.640,000;5.640,000;56.400,00;1
WDOJ26;19/12/2025;14:55:00;5.647,500;5.647,500;5.647,500;5.647,500;56.475,00;1
WDOJ26;19/12/2025;11:35:00;5.628,500;5.628,500;5.628,500;5.628,500;56.285,00;1
WDOJ26;18/12/2025;12:55:00;5.634,000;5.634,000;5.634,000;5.634,000;56.340,00;1
WDOJ26;18/12/2025;09:00:00;5.638,500;5.638,500;5.638,500;5.638,500;56.385,00;1
WDOJ26;17/12/2025;17:30:00;5.643,000;5.643,000;5.643,000;5.643,000;56.430,00;1
WDOJ26;17/12/2025;14:40:00;5.642,000;5.642,000;5.642,000;5.642,000;56.420,00;1
WDOJ26;17/12/2025;14:10:00;5.644,000;5.644,000;5.644,000;5.644,000;56.440,00;1
WDOJ26;17/12/2025;12:55:00;5.650,000;5.650,000;5.650,000;5.650,000;565.000,00;10
WDOJ26;17/12/2025;12:15:00;5.638,000;5.638,000;5.638,000;5.638,000;56.380,00;1
WDOJ26;16/12/2025;18:15:00;5.610,000;5.610,000;5.610,000;5.610,000;1.122.000,00;20
WDOJ26;09/12/2025;10:25:00;5.610,000;5.610,000;5.610,000;5.610,000;561.000,00;10
WDOJ26;05/12/2025;16:20:00;5.576,000;5.576,000;5.576,000;5.576,000;278.800,00;5
WDOJ26;05/12/2025;12:50:00;5.490,000;5.490,000;5.490,000;5.490,000;54.900,00;1
