Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOJ26;30/12/2025;5.681,000;5.681,000;5.607,000;5.607,000;1.633.175,00;29
WDOJ26;29/12/2025;5.703,500;5.703,500;5.684,500;5.694,000;683.270,00;12
WDOJ26;23/12/2025;5.713,000;5.713,000;5.646,500;5.646,500;798.100,00;14
WDOJ26;22/12/2025;5.640,000;5.716,000;5.640,000;5.705,500;798.460,00;14
WDOJ26;19/12/2025;5.628,500;5.647,500;5.628,500;5.647,500;112.760,00;2
WDOJ26;18/12/2025;5.638,500;5.638,500;5.634,000;5.634,000;112.725,00;2
WDOJ26;17/12/2025;5.638,000;5.650,000;5.638,000;5.643,000;790.670,00;14
WDOJ26;16/12/2025;5.610,000;5.610,000;5.610,000;5.610,000;1.122.000,00;20
WDOJ26;09/12/2025;5.610,000;5.610,000;5.610,000;5.610,000;561.000,00;10
WDOJ26;05/12/2025;5.490,000;5.576,000;5.490,000;5.576,000;333.700,00;6
