Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;30/12/2025;18:00:00;167.389;167.440;167.012;167.042;9.102.284.137,97;272.228
WINFUT;30/12/2025;17:00:00;167.644;167.715;167.262;167.384;21.357.102.367,99;637.394
WINFUT;30/12/2025;16:00:00;167.629;167.802;167.542;167.644;23.683.526.138,09;706.222
WINFUT;30/12/2025;15:00:00;167.848;167.894;167.527;167.629;27.290.968.296,04;813.592
WINFUT;30/12/2025;14:00:00;167.613;167.894;167.440;167.843;33.712.015.863,93;1.005.072
WINFUT;30/12/2025;13:00:00;167.517;167.828;167.501;167.619;35.910.599.384,10;1.070.860
WINFUT;30/12/2025;12:00:00;167.007;167.583;166.945;167.517;49.069.577.384,70;1.466.705
WINFUT;30/12/2025;11:00:00;167.185;167.721;166.945;167.012;79.565.758.757,61;2.376.855
WINFUT;30/12/2025;10:00:00;167.654;168.088;167.185;167.190;88.361.285.601,69;2.634.759
WINFUT;30/12/2025;09:00:00;166.695;168.021;166.328;167.654;83.708.408.818,63;2.498.895
WINFUT;29/12/2025;18:00:00;166.155;166.384;166.083;166.247;6.421.321.165,48;193.136
WINFUT;29/12/2025;17:00:00;166.145;166.389;165.823;166.155;29.493.741.968,38;887.246
WINFUT;29/12/2025;16:00:00;165.777;166.236;165.675;166.145;32.291.817.384,51;973.006
WINFUT;29/12/2025;15:00:00;166.155;166.359;165.599;165.783;44.050.691.141,86;1.326.658
WINFUT;29/12/2025;14:00:00;166.119;166.425;165.941;166.160;33.463.944.972,00;1.006.802
WINFUT;29/12/2025;13:00:00;166.221;166.293;165.930;166.114;36.514.305.059,07;1.099.283
WINFUT;29/12/2025;12:00:00;166.476;166.537;165.910;166.221;56.127.538.254,99;1.689.071
WINFUT;29/12/2025;11:00:00;166.476;166.782;166.262;166.481;69.188.439.045,99;2.078.290
WINFUT;29/12/2025;10:00:00;166.869;167.165;166.323;166.471;88.911.810.726,52;2.667.779
WINFUT;29/12/2025;09:00:00;167.124;167.619;166.848;166.869;79.073.075.367,28;2.365.086
WINFUT;26/12/2025;18:00:00;167.139;167.399;167.093;167.328;7.245.960.569,16;216.661
WINFUT;26/12/2025;17:00:00;166.711;167.149;166.644;167.139;20.252.712.378,12;606.628
WINFUT;26/12/2025;16:00:00;166.578;166.797;166.537;166.711;24.133.349.085,03;723.844
WINFUT;26/12/2025;15:00:00;166.599;166.752;166.425;166.578;26.753.742.418,24;803.074
WINFUT;26/12/2025;14:00:00;166.104;166.650;166.089;166.593;37.622.424.795,09;1.130.222
WINFUT;26/12/2025;13:00:00;166.405;166.522;165.961;166.109;33.818.628.150,78;1.017.239
WINFUT;26/12/2025;12:00:00;166.027;166.706;165.951;166.400;48.879.506.834,28;1.468.661
WINFUT;26/12/2025;11:00:00;165.436;166.344;165.364;166.027;69.819.710.896,25;2.104.324
WINFUT;26/12/2025;10:00:00;165.696;166.073;165.339;165.436;79.964.465.750,41;2.413.041
WINFUT;26/12/2025;09:00:00;166.191;166.231;165.405;165.696;69.382.214.715,12;2.092.593
WINFUT;23/12/2025;18:00:00;166.588;166.787;166.461;166.665;9.107.004.759,68;273.216
WINFUT;23/12/2025;17:00:00;166.389;166.670;166.308;166.593;21.101.662.813,05;633.938
WINFUT;23/12/2025;16:00:00;166.451;166.604;166.359;166.389;23.548.890.374,75;707.215
WINFUT;23/12/2025;15:00:00;166.685;166.685;166.175;166.451;37.005.406.553,15;1.112.043
WINFUT;23/12/2025;14:00:00;166.512;166.706;166.369;166.680;30.345.820.352,68;911.019
WINFUT;23/12/2025;13:00:00;166.379;166.609;166.293;166.507;30.278.762.670,13;909.462
WINFUT;23/12/2025;12:00:00;166.104;166.731;166.099;166.384;58.815.835.209,09;1.767.187
WINFUT;23/12/2025;11:00:00;165.635;166.155;165.206;166.099;81.823.366.908,40;2.468.662
WINFUT;23/12/2025;10:00:00;165.002;165.783;164.895;165.635;92.964.914.131,58;2.810.290
WINFUT;23/12/2025;09:00:00;164.467;165.426;164.115;165.002;86.735.086.509,97;2.630.013
WINFUT;22/12/2025;18:00:00;164.298;164.395;164.120;164.263;7.168.262.799,68;218.185
WINFUT;22/12/2025;17:00:00;164.390;164.508;164.186;164.293;23.927.152.442,64;727.956
WINFUT;22/12/2025;16:00:00;164.360;164.411;164.110;164.385;33.623.997.476,70;1.023.340
WINFUT;22/12/2025;15:00:00;164.360;164.523;163.926;164.365;44.393.034.174,73;1.351.673
WINFUT;22/12/2025;14:00:00;164.436;164.574;164.191;164.360;39.469.280.929,42;1.200.569
WINFUT;22/12/2025;13:00:00;164.084;164.574;163.987;164.436;49.812.719.311,25;1.516.291
WINFUT;22/12/2025;12:00:00;163.722;164.258;163.661;164.084;55.374.343.136,36;1.689.407
WINFUT;22/12/2025;11:00:00;164.212;164.553;163.350;163.717;93.216.132.905,34;2.844.615
WINFUT;22/12/2025;10:00:00;164.717;164.803;163.921;164.212;88.585.180.662,84;2.695.548
WINFUT;22/12/2025;09:00:00;165.293;165.660;164.589;164.717;78.328.607.382,16;2.373.728
WINFUT;19/12/2025;18:00:00;164.681;164.941;164.630;164.829;8.168.631.059,92;247.807
WINFUT;19/12/2025;17:00:00;165.028;165.084;164.548;164.676;24.330.734.642,36;738.115
WINFUT;19/12/2025;16:00:00;164.987;165.099;164.905;165.028;23.626.767.236,53;716.002
WINFUT;19/12/2025;15:00:00;165.120;165.201;164.941;164.982;27.100.917.872,90;820.924
WINFUT;19/12/2025;14:00:00;165.477;165.543;165.043;165.120;31.240.492.120,87;945.200
WINFUT;19/12/2025;13:00:00;165.415;165.624;165.344;165.482;30.743.145.639,82;928.797
WINFUT;19/12/2025;12:00:00;165.762;165.976;165.308;165.415;51.893.152.805,25;1.566.618
WINFUT;19/12/2025;11:00:00;165.278;165.859;164.870;165.762;90.760.852.955,94;2.744.324
WINFUT;19/12/2025;10:00:00;164.446;165.324;164.207;165.283;100.480.213.888,86;3.051.736
WINFUT;19/12/2025;09:00:00;164.421;165.216;164.304;164.446;82.538.648.862,39;2.506.383
WINFUT;18/12/2025;18:00:00;164.426;164.655;164.426;164.538;5.960.048.146,57;181.115
WINFUT;18/12/2025;17:00:00;164.135;164.691;164.135;164.431;28.005.396.230,37;851.575
WINFUT;18/12/2025;16:00:00;164.717;164.737;164.049;164.140;33.895.637.342,50;1.030.746
WINFUT;18/12/2025;15:00:00;164.701;164.941;164.625;164.717;30.815.606.796,69;934.979
WINFUT;18/12/2025;14:00:00;164.778;164.941;163.911;164.701;63.553.920.346,79;1.932.504
WINFUT;18/12/2025;13:00:00;164.783;165.028;164.630;164.778;44.858.219.922,28;1.360.718
WINFUT;18/12/2025;12:00:00;164.008;165.069;163.977;164.778;74.282.486.824,24;2.259.310
WINFUT;18/12/2025;11:00:00;163.717;164.253;163.437;164.008;91.394.633.524,24;2.788.784
WINFUT;18/12/2025;10:00:00;163.467;164.288;163.217;163.722;95.299.237.395,29;2.908.469
WINFUT;18/12/2025;09:00:00;163.870;164.298;163.039;163.472;97.217.525.459,65;2.972.399
WINFUT;17/12/2025;18:00:00;163.692;164.018;163.518;163.544;8.243.173.697,56;251.652
WINFUT;17/12/2025;17:00:00;163.559;164.110;163.462;163.687;33.658.976.720,86;1.027.288
WINFUT;17/12/2025;16:00:00;163.681;163.799;163.457;163.564;25.858.216.866,01;790.115
WINFUT;17/12/2025;15:00:00;163.630;163.875;163.452;163.681;37.927.737.646,35;1.158.563
WINFUT;17/12/2025;14:00:00;163.534;163.916;163.335;163.630;49.552.251.271,79;1.514.219
WINFUT;17/12/2025;13:00:00;163.447;163.595;162.911;163.528;50.504.029.268,43;1.546.313
WINFUT;17/12/2025;12:00:00;164.084;164.105;163.416;163.452;57.166.361.032,59;1.745.837
WINFUT;17/12/2025;11:00:00;163.018;164.273;162.962;164.084;97.741.192.782,75;2.985.454
WINFUT;17/12/2025;10:00:00;164.385;164.441;162.799;163.024;115.217.406.000,64;3.523.257
WINFUT;17/12/2025;09:00:00;164.727;164.921;163.799;164.385;99.982.584.761,98;3.040.881
WINFUT;16/12/2025;18:00:00;165.830;165.856;164.114;164.385;22.603.193.226,92;685.331
