Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;30/12/2025;166.695;168.088;166.328;167.042;451.761.526.750,74;13.482.582
WINFUT;29/12/2025;167.124;167.619;165.599;166.247;475.536.685.086,10;14.286.357
WINFUT;26/12/2025;166.191;167.399;165.339;167.328;417.872.715.592,46;12.576.287
WINFUT;23/12/2025;164.467;166.787;164.115;166.665;471.726.750.282,50;14.223.045
WINFUT;22/12/2025;165.293;165.660;163.350;164.263;513.898.711.221,11;15.641.312
WINFUT;19/12/2025;164.421;165.976;164.207;164.829;470.883.557.084,85;14.265.906
WINFUT;18/12/2025;163.870;165.069;163.039;164.538;565.282.711.988,64;17.220.599
WINFUT;17/12/2025;164.727;164.921;162.799;163.544;575.843.752.863,58;17.583.329
WINFUT;16/12/2025;168.208;168.313;164.114;164.385;612.671.432.365,34;18.346.181
WINFUT;15/12/2025;168.547;170.347;168.307;169.778;640.522.972.399,16;18.892.438
WINFUT;12/12/2025;166.607;168.584;166.425;167.979;619.663.412.973,06;18.508.570
WINFUT;11/12/2025;165.481;167.186;164.870;166.346;605.343.155.194,92;18.206.249
WINFUT;10/12/2025;166.174;167.196;164.782;166.445;747.096.337.369,76;22.532.272
WINFUT;09/12/2025;165.303;166.294;162.346;165.037;783.687.067.611,72;23.815.407
WINFUT;08/12/2025;166.998;167.014;164.933;165.715;675.732.099.552,50;20.350.172
WINFUT;05/12/2025;172.381;172.939;164.260;165.157;807.110.949.243,35;23.764.212
WINFUT;04/12/2025;169.674;172.647;169.669;172.402;662.956.889.898,16;19.325.362
WINFUT;03/12/2025;169.387;169.930;168.959;169.669;589.481.174.813,21;17.396.944
WINFUT;02/12/2025;166.930;169.434;166.638;169.272;598.781.817.028,96;17.844.228
WINFUT;01/12/2025;166.904;167.280;165.804;166.581;477.749.482.371,81;14.342.720
WINFUT;28/11/2025;166.367;167.781;166.346;167.009;447.193.631.185,24;13.390.817
WINFUT;27/11/2025;166.711;166.884;166.159;166.498;337.475.623.828,80;10.133.469
WINFUT;26/11/2025;164.297;167.056;164.208;167.056;554.643.354.913,69;16.740.509
WINFUT;25/11/2025;163.655;164.568;162.768;164.088;588.103.743.121,54;17.974.421
WINFUT;24/11/2025;163.514;164.124;162.659;163.749;503.799.595.428,97;15.424.527
WINFUT;21/11/2025;161.897;163.452;161.715;163.191;558.679.207.068,47;17.168.852
WINFUT;19/11/2025;165.194;165.277;163.003;163.650;524.507.522.708,68;15.968.808
WINFUT;18/11/2025;164.922;165.600;163.900;164.917;608.112.719.226,21;18.434.506
WINFUT;17/11/2025;166.471;166.560;165.168;165.694;576.630.866.487,23;17.365.159
WINFUT;14/11/2025;165.126;167.191;164.886;166.185;594.289.584.418,06;17.874.270
WINFUT;13/11/2025;166.852;167.212;165.314;165.903;610.851.684.905,47;18.371.316
WINFUT;12/11/2025;166.904;167.082;165.454;166.503;541.268.371.182,44;16.273.060
WINFUT;11/11/2025;164.756;167.536;164.756;166.732;648.832.546.487,87;19.500.981
WINFUT;10/11/2025;163.879;164.756;163.431;164.630;508.297.880.330,54;15.503.479
WINFUT;07/11/2025;162.351;163.097;161.167;162.982;532.656.661.020,49;16.446.808
WINFUT;06/11/2025;162.163;163.326;162.163;162.471;527.379.579.128,11;16.211.678
WINFUT;05/11/2025;159.446;162.721;159.096;162.643;617.215.121.314,43;19.188.558
WINFUT;04/11/2025;158.507;159.863;158.298;159.654;471.985.111.435,64;14.825.175
WINFUT;03/11/2025;158.794;159.837;158.523;159.602;448.173.244.902,86;14.075.029
WINFUT;31/10/2025;158.022;158.815;157.886;158.794;451.288.705.803,83;14.254.100
WINFUT;30/10/2025;157.516;158.345;156.369;158.309;468.988.614.793,69;14.882.389
WINFUT;29/10/2025;156.958;158.288;156.280;157.824;526.183.563.954,58;16.698.139
WINFUT;28/10/2025;155.972;157.021;155.498;156.864;453.907.274.024,29;14.515.360
WINFUT;27/10/2025;156.551;157.255;155.925;156.254;413.399.414.239,24;13.212.693
WINFUT;24/10/2025;154.955;156.572;154.856;155.237;413.376.904.531,61;13.275.481
WINFUT;23/10/2025;154.345;155.560;154.147;155.205;463.556.361.603,34;14.960.018
WINFUT;22/10/2025;153.338;154.329;152.890;154.298;537.764.833.351,32;17.491.964
WINFUT;21/10/2025;153.448;154.115;152.973;153.589;480.083.455.447,06;15.638.988
WINFUT;20/10/2025;152.634;154.611;152.561;153.656;493.040.887.614,47;16.047.612
WINFUT;17/10/2025;151.137;152.869;150.297;152.770;487.295.125.335,53;16.047.462
WINFUT;16/10/2025;152.024;152.504;150.558;151.268;525.604.400.040,00;17.344.967
WINFUT;15/10/2025;151.408;152.405;150.219;152.003;510.202.687.454,65;16.834.436
WINFUT;14/10/2025;149.889;152.128;149.793;151.168;528.075.171.687,97;17.459.999
WINFUT;13/10/2025;150.913;151.872;150.838;150.982;485.784.069.703,67;16.041.543
WINFUT;10/10/2025;151.547;152.123;149.319;149.633;577.027.334.806,06;19.116.664
WINFUT;09/10/2025;152.352;153.311;151.190;151.275;488.035.302.804,16;16.042.877
WINFUT;08/10/2025;151.072;152.224;151.009;151.915;459.774.726.112,17;15.154.265
WINFUT;07/10/2025;153.151;153.221;150.774;150.982;499.937.528.419,07;16.472.568
WINFUT;06/10/2025;154.442;154.948;153.333;153.589;502.667.790.350,80;16.319.581
WINFUT;03/10/2025;154.591;154.761;153.749;154.239;473.930.866.742,87;15.362.718
WINFUT;02/10/2025;156.457;157.022;153.775;154.298;517.309.810.532,53;16.695.516
WINFUT;01/10/2025;156.942;157.922;155.561;155.929;510.594.600.990,23;16.303.523
WINFUT;30/09/2025;157.150;158.253;156.307;156.867;432.438.917.678,06;13.765.079
WINFUT;29/09/2025;156.334;158.957;156.318;157.048;426.746.071.032,46;13.564.960
WINFUT;26/09/2025;156.238;156.904;155.630;156.041;398.290.577.316,37;12.760.173
WINFUT;25/09/2025;157.789;158.535;155.774;156.089;497.748.263.294,96;15.875.249
WINFUT;24/09/2025;157.352;158.855;156.888;158.642;480.067.568.259,82;15.260.996
WINFUT;23/09/2025;155.801;158.189;155.700;157.352;509.670.394.873,42;16.227.937
WINFUT;22/09/2025;156.377;156.483;154.847;155.918;470.184.879.867,22;15.101.935
WINFUT;19/09/2025;156.435;157.491;156.121;156.552;421.022.542.469,03;13.420.546
WINFUT;18/09/2025;156.830;157.144;156.003;156.835;431.685.144.247,71;13.789.702
WINFUT;17/09/2025;155.017;157.677;154.713;156.718;632.985.522.345,34;20.255.081
WINFUT;16/09/2025;155.252;155.934;154.644;155.097;523.893.334.401,53;16.874.758
WINFUT;15/09/2025;153.685;155.449;153.450;154.367;508.621.237.724,62;16.459.886
WINFUT;12/09/2025;153.946;154.452;153.045;153.701;422.752.757.973,76;13.754.057
WINFUT;11/09/2025;153.685;155.332;152.864;154.372;476.500.950.667,67;15.432.157
WINFUT;10/09/2025;153.290;154.505;152.421;153.882;477.414.934.937,90;15.539.743
WINFUT;09/09/2025;153.450;154.031;152.821;153.103;464.638.635.409,42;15.154.379
WINFUT;08/09/2025;154.431;154.617;152.613;153.301;437.613.455.938,61;14.260.476
WINFUT;05/09/2025;152.714;155.087;152.629;154.218;465.405.735.686,73;15.113.162
WINFUT;04/09/2025;151.126;152.986;150.913;152.421;441.611.000.154,12;14.539.994
WINFUT;03/09/2025;152.139;152.261;150.955;151.158;439.963.326.203,95;14.520.121
WINFUT;02/09/2025;152.085;152.725;150.982;151.925;495.536.568.713,41;16.312.820
