Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;29/12/2025;163.850;165.040;162.355;162.700;1.360.779.053.921,00;41.580.781
WINFUT;22/12/2025;162.055;164.120;160.150;164.050;1.376.004.620.032,00;42.440.644
WINFUT;15/12/2025;161.575;163.300;157.325;161.600;2.781.784.841.967,00;86.308.453
WINFUT;08/12/2025;160.090;161.610;155.630;161.030;3.289.568.842.038,00;103.412.670
WINFUT;01/12/2025;160.000;165.785;157.465;158.325;3.006.348.747.400,00;92.673.466
WINFUT;24/11/2025;156.750;160.840;155.930;160.100;2.330.642.806.002,00;73.663.743
WINFUT;17/11/2025;159.585;159.670;155.025;156.440;2.174.111.879.128,00;68.937.325
WINFUT;10/11/2025;157.100;160.605;156.670;159.310;2.783.428.092.467,00;87.523.106
WINFUT;03/11/2025;152.225;156.570;151.750;156.240;2.489.961.567.101,00;80.747.248
WINFUT;27/10/2025;150.075;152.245;149.065;152.225;2.218.052.967.166,00;73.562.681
WINFUT;20/10/2025;146.320;150.095;146.250;148.815;2.289.044.377.657,00;77.414.063
WINFUT;13/10/2025;141.550;146.545;140.500;146.450;2.411.055.087.009,00;83.728.407
WINFUT;06/10/2025;144.860;145.335;140.055;140.350;2.370.640.826.749,00;83.105.955
WINFUT;29/09/2025;146.635;149.095;144.210;144.670;2.214.543.212.571,00;75.691.796
WINFUT;22/09/2025;146.675;149.000;145.240;146.360;2.209.798.462.341,00;75.226.290
WINFUT;15/09/2025;144.150;147.895;143.930;146.840;2.361.978.856.207,00;80.799.973
WINFUT;08/09/2025;144.850;145.695;142.965;144.165;2.137.537.113.133,00;74.140.812
WINFUT;01/09/2025;143.905;145.465;141.550;144.650;2.058.794.939.957,00;71.992.529
WINFUT;25/08/2025;140.780;144.775;139.450;144.095;1.977.436.218.770,00;69.701.314
WINFUT;18/08/2025;139.295;140.925;135.900;140.740;1.926.557.254.200,00;69.662.795
WINFUT;11/08/2025;136.105;141.445;135.510;139.395;1.933.070.220.593,00;69.847.877
WINFUT;04/08/2025;133.400;137.265;132.600;136.365;2.128.882.848.002,00;78.890.691
WINFUT;28/07/2025;134.210;135.870;132.335;132.990;2.037.182.141.807,00;76.323.747
WINFUT;21/07/2025;134.140;136.800;134.040;134.280;1.756.441.250.272,00;64.915.928
WINFUT;14/07/2025;137.370;137.720;134.310;134.725;1.899.807.798.743,00;69.681.093
WINFUT;07/07/2025;143.360;143.415;136.755;137.615;1.991.700.400.699,00;71.250.315
WINFUT;30/06/2025;139.250;143.825;138.025;143.815;1.868.632.004.684,00;65.997.403
WINFUT;23/06/2025;139.695;140.670;137.735;139.335;1.839.228.171.475,00;66.122.241
WINFUT;16/06/2025;137.600;141.960;137.550;139.710;1.411.105.569.347,00;50.415.536
