Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINJ26;30/12/2025;18:20:00;167.180;167.180;167.080;167.080;869.104,00;26
WINJ26;30/12/2025;18:15:00;167.140;167.220;167.110;167.220;1.103.238,00;33
WINJ26;30/12/2025;18:10:00;167.155;167.155;167.070;167.070;1.069.521,00;32
WINJ26;30/12/2025;18:05:00;167.190;167.210;167.140;167.210;1.571.490,00;47
WINJ26;30/12/2025;18:00:00;167.355;167.395;167.200;167.245;2.408.848,00;72
WINJ26;30/12/2025;17:55:00;167.350;167.475;167.350;167.385;4.018.032,00;120
WINJ26;30/12/2025;17:50:00;167.360;167.390;167.300;167.390;568.991,00;17
WINJ26;30/12/2025;17:45:00;167.570;167.615;167.380;167.440;2.411.458,00;72
WINJ26;30/12/2025;17:40:00;167.595;167.595;167.545;167.545;603.266,00;18
WINJ26;30/12/2025;17:35:00;167.595;167.640;167.580;167.610;1.039.181,00;31
WINJ26;30/12/2025;17:30:00;167.655;167.660;167.655;167.660;167.659,00;5
WINJ26;30/12/2025;17:25:00;167.685;167.730;167.620;167.630;1.676.682,00;50
WINJ26;30/12/2025;17:20:00;167.675;167.675;167.675;167.675;100.605,00;3
WINJ26;30/12/2025;17:15:00;167.630;167.695;167.630;167.695;804.830,00;24
WINJ26;30/12/2025;17:10:00;167.550;167.605;167.550;167.595;536.316,00;16
WINJ26;30/12/2025;17:05:00;167.620;167.620;167.500;167.540;536.179,00;16
WINJ26;30/12/2025;17:00:00;167.660;167.660;167.580;167.580;636.932,00;19
WINJ26;30/12/2025;16:55:00;167.705;167.710;167.685;167.685;167.704,00;5
WINJ26;30/12/2025;16:50:00;167.630;167.645;167.615;167.645;100.578,00;3
WINJ26;30/12/2025;16:45:00;167.710;167.710;167.650;167.650;67.072,00;2
WINJ26;30/12/2025;16:40:00;167.665;167.740;167.665;167.705;503.083,00;15
WINJ26;30/12/2025;16:35:00;167.600;167.600;167.555;167.600;335.167,00;10
WINJ26;30/12/2025;16:30:00;167.650;167.665;167.600;167.610;335.279,00;10
WINJ26;30/12/2025;16:25:00;167.690;167.715;167.630;167.630;368.890,00;11
WINJ26;30/12/2025;16:20:00;167.785;167.785;167.690;167.700;335.430,00;10
WINJ26;30/12/2025;16:15:00;167.735;167.770;167.680;167.750;771.535,00;23
WINJ26;30/12/2025;16:10:00;167.780;167.780;167.745;167.745;201.323,00;6
WINJ26;30/12/2025;16:05:00;167.700;167.790;167.700;167.790;301.917,00;9
WINJ26;30/12/2025;16:00:00;167.615;167.625;167.595;167.595;100.567,00;3
WINJ26;30/12/2025;15:55:00;167.600;167.670;167.580;167.600;1.072.685,00;32
WINJ26;30/12/2025;15:50:00;167.625;167.625;167.550;167.550;1.005.619,00;30
WINJ26;30/12/2025;15:45:00;167.680;167.710;167.610;167.670;469.414,00;14
WINJ26;30/12/2025;15:40:00;167.680;167.690;167.660;167.660;402.430,00;12
WINJ26;30/12/2025;15:35:00;167.755;167.755;167.690;167.690;436.054,00;13
WINJ26;30/12/2025;15:30:00;167.815;167.815;167.760;167.760;100.668,00;3
WINJ26;30/12/2025;15:25:00;167.770;167.790;167.770;167.790;167.777,00;5
WINJ26;30/12/2025;15:20:00;167.735;167.810;167.735;167.810;234.877,00;7
WINJ26;30/12/2025;15:15:00;167.770;167.770;167.700;167.700;201.262,00;6
WINJ26;30/12/2025;15:10:00;167.805;167.820;167.775;167.775;134.243,00;4
WINJ26;30/12/2025;15:05:00;167.810;167.845;167.790;167.845;604.107,00;18
WINJ26;30/12/2025;15:00:00;167.845;167.845;167.845;167.845;67.138,00;2
WINJ26;30/12/2025;14:55:00;167.800;167.820;167.800;167.820;67.124,00;2
WINJ26;30/12/2025;14:50:00;167.855;167.855;167.820;167.820;872.834,00;26
WINJ26;30/12/2025;14:45:00;167.755;167.875;167.755;167.840;939.821,00;28
WINJ26;30/12/2025;14:40:00;167.760;167.775;167.760;167.775;234.877,00;7
WINJ26;30/12/2025;14:35:00;167.860;167.860;167.740;167.790;1.308.853,00;39
WINJ26;30/12/2025;14:30:00;167.795;167.840;167.760;167.840;1.476.914,00;44
WINJ26;30/12/2025;14:25:00;167.750;167.850;167.750;167.840;906.195,00;27
WINJ26;30/12/2025;14:20:00;167.685;167.715;167.685;167.715;402.507,00;12
WINJ26;30/12/2025;14:15:00;167.640;167.640;167.640;167.640;33.528,00;1
WINJ26;30/12/2025;14:10:00;167.715;167.715;167.580;167.600;268.212,00;8
WINJ26;30/12/2025;14:05:00;167.550;167.715;167.550;167.715;536.600,00;16
WINJ26;30/12/2025;14:00:00;167.555;167.605;167.460;167.605;502.586,00;15
WINJ26;30/12/2025;13:55:00;167.640;167.650;167.640;167.650;67.058,00;2
WINJ26;30/12/2025;13:50:00;167.565;167.715;167.565;167.660;771.019,00;23
WINJ26;30/12/2025;13:45:00;167.760;167.760;167.580;167.580;536.411,00;16
WINJ26;30/12/2025;13:40:00;167.730;167.750;167.725;167.735;134.188,00;4
WINJ26;30/12/2025;13:35:00;167.775;167.790;167.765;167.790;604.021,00;18
WINJ26;30/12/2025;13:30:00;167.670;167.810;167.670;167.760;3.624.187,00;108
WINJ26;30/12/2025;13:25:00;167.710;167.710;167.640;167.640;637.226,00;19
WINJ26;30/12/2025;13:20:00;167.700;167.760;167.700;167.735;972.940,00;29
WINJ26;30/12/2025;13:15:00;167.660;167.665;167.655;167.660;234.721,00;7
WINJ26;30/12/2025;13:10:00;167.630;167.680;167.625;167.625;1.944.766,00;58
WINJ26;30/12/2025;13:05:00;167.580;167.645;167.580;167.645;1.508.401,00;45
WINJ26;30/12/2025;13:00:00;167.505;167.575;167.505;167.545;3.585.588,00;107
WINJ26;30/12/2025;12:55:00;167.535;167.555;167.460;167.505;1.105.444,00;33
WINJ26;30/12/2025;12:50:00;167.390;167.550;167.390;167.525;904.322,00;27
WINJ26;30/12/2025;12:45:00;167.440;167.500;167.420;167.460;636.335,00;19
WINJ26;30/12/2025;12:40:00;167.405;167.420;167.290;167.420;669.420,00;20
WINJ26;30/12/2025;12:35:00;167.310;167.450;167.310;167.400;937.327,00;28
WINJ26;30/12/2025;12:30:00;167.160;167.200;167.130;167.200;133.727,00;4
WINJ26;30/12/2025;12:25:00;167.165;167.365;167.145;167.165;468.214,00;14
WINJ26;30/12/2025;12:20:00;167.295;167.300;167.255;167.255;167.280,00;5
WINJ26;30/12/2025;12:15:00;167.220;167.285;167.220;167.285;1.137.344,00;34
WINJ26;30/12/2025;12:10:00;167.130;167.220;167.130;167.220;468.135,00;14
WINJ26;30/12/2025;12:05:00;167.020;167.190;166.975;167.100;735.204,00;22
