Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;28/12/2017;18:00:00;4.747,800;4.763,507;4.743,516;4.753,511;337.443.608,16;7.102
WDOFUT;28/12/2017;17:00:00;4.749,227;4.753,511;4.746,372;4.749,227;895.342.186,98;18.921
WDOFUT;28/12/2017;16:00:00;4.737,804;4.752,083;4.732,093;4.749,227;1.751.074.160,31;37.147
WDOFUT;28/12/2017;15:00:00;4.732,093;4.740,660;4.723,525;4.739,232;2.033.086.315,91;43.217
WDOFUT;28/12/2017;14:00:00;4.734,948;4.737,804;4.730,665;4.732,093;1.437.676.550,62;30.378
WDOFUT;28/12/2017;13:00:00;4.734,948;4.737,804;4.729,237;4.734,948;1.241.795.905,03;26.316
WDOFUT;28/12/2017;12:00:00;4.732,093;4.737,804;4.729,237;4.734,948;1.381.459.747,76;29.371
WDOFUT;28/12/2017;11:00:00;4.752,083;4.753,511;4.729,237;4.732,093;2.915.277.455,02;61.925
WDOFUT;28/12/2017;10:00:00;4.737,804;4.754,939;4.734,948;4.752,083;2.633.350.974,00;55.868
WDOFUT;28/12/2017;09:00:00;4.740,660;4.743,516;4.732,093;4.736,376;1.287.660.362,94;27.376
WDOFUT;27/12/2017;18:00:00;4.757,798;4.766,407;4.756,364;4.757,798;195.649.393,57;4.117
WDOFUT;27/12/2017;17:00:00;4.750,624;4.763,538;4.749,190;4.759,233;1.306.988.454,06;27.462
WDOFUT;27/12/2017;16:00:00;4.749,190;4.759,233;4.749,190;4.750,624;1.696.909.832,74;35.761
WDOFUT;27/12/2017;15:00:00;4.739,146;4.757,798;4.737,711;4.749,190;2.746.050.292,38;58.017
WDOFUT;27/12/2017;14:00:00;4.746,320;4.754,929;4.737,711;4.740,581;3.440.235.461,04;72.674
WDOFUT;27/12/2017;13:00:00;4.740,581;4.749,190;4.739,146;4.747,755;2.060.445.230,59;43.463
WDOFUT;27/12/2017;12:00:00;4.727,668;4.743,450;4.726,233;4.740,581;3.289.940.110,67;69.625
WDOFUT;27/12/2017;11:00:00;4.734,842;4.737,711;4.726,233;4.729,102;2.813.198.954,88;59.734
WDOFUT;27/12/2017;10:00:00;4.743,450;4.746,320;4.729,102;4.734,842;3.244.729.547,52;68.735
WDOFUT;27/12/2017;09:00:00;4.739,146;4.743,450;4.731,972;4.742,016;3.044.216.180,31;64.346
WDOFUT;26/12/2017;18:00:00;4.747,755;4.750,624;4.746,320;4.749,190;252.237.924,54;5.302
WDOFUT;26/12/2017;17:00:00;4.753,494;4.757,798;4.743,450;4.747,755;1.378.039.773,87;29.083
WDOFUT;26/12/2017;16:00:00;4.760,668;4.763,538;4.752,059;4.753,494;1.676.119.573,78;35.331
WDOFUT;26/12/2017;15:00:00;4.759,233;4.766,407;4.757,798;4.760,668;1.888.900.485,09;39.802
WDOFUT;26/12/2017;14:00:00;4.760,668;4.763,538;4.756,364;4.760,668;1.626.303.301,08;34.302
WDOFUT;26/12/2017;13:00:00;4.757,798;4.763,538;4.754,929;4.762,103;1.638.097.361,03;34.525
WDOFUT;26/12/2017;12:00:00;4.752,059;4.757,798;4.750,624;4.757,798;1.852.901.341,03;39.002
WDOFUT;26/12/2017;11:00:00;4.769,277;4.769,277;4.752,059;4.753,494;2.997.111.680,52;63.018
WDOFUT;26/12/2017;10:00:00;4.769,277;4.772,146;4.766,407;4.769,277;2.040.874.552,03;42.909
WDOFUT;26/12/2017;09:00:00;4.777,886;4.782,190;4.766,407;4.769,277;2.436.908.180,76;51.248
WDOFUT;22/12/2017;18:00:00;4.789,364;4.792,234;4.789,364;4.789,364;243.772.601,70;5.098
WDOFUT;22/12/2017;17:00:00;4.783,625;4.792,234;4.783,625;4.789,364;1.475.276.202,46;31.072
WDOFUT;22/12/2017;16:00:00;4.782,190;4.783,625;4.777,886;4.783,625;1.214.113.818,93;25.560
WDOFUT;22/12/2017;15:00:00;4.766,407;4.786,494;4.764,972;4.782,190;3.626.974.743,63;76.428
WDOFUT;22/12/2017;14:00:00;4.772,146;4.775,016;4.763,538;4.766,407;2.836.930.554,84;59.760
WDOFUT;22/12/2017;13:00:00;4.763,538;4.777,886;4.763,538;4.772,146;3.143.733.941,67;66.150
WDOFUT;22/12/2017;12:00:00;4.762,103;4.769,277;4.760,668;4.763,538;2.662.903.604,51;55.915
WDOFUT;22/12/2017;11:00:00;4.756,364;4.766,407;4.754,929;4.760,668;3.212.747.844,80;67.653
WDOFUT;22/12/2017;10:00:00;4.757,798;4.766,407;4.753,494;4.756,364;3.853.902.787,69;81.225
WDOFUT;22/12/2017;09:00:00;4.743,450;4.763,538;4.740,581;4.757,798;4.277.111.537,53;90.156
WDOFUT;21/12/2017;18:00:00;4.746,320;4.756,364;4.744,885;4.749,190;256.843.634,08;5.405
WDOFUT;21/12/2017;17:00:00;4.749,190;4.754,929;4.742,016;4.746,320;1.474.042.274,05;31.031
WDOFUT;21/12/2017;16:00:00;4.749,190;4.757,798;4.746,320;4.749,190;2.625.254.439,89;55.329
WDOFUT;21/12/2017;15:00:00;4.746,320;4.754,929;4.731,972;4.749,190;5.518.701.785,67;116.657
WDOFUT;21/12/2017;14:00:00;4.752,059;4.757,798;4.744,885;4.746,320;3.054.518.047,77;64.448
WDOFUT;21/12/2017;13:00:00;4.746,320;4.760,668;4.743,450;4.753,494;3.512.764.625,35;74.096
WDOFUT;21/12/2017;12:00:00;4.744,885;4.752,059;4.740,581;4.746,320;3.149.229.227,51;66.436
WDOFUT;21/12/2017;11:00:00;4.743,450;4.762,103;4.740,581;4.746,320;5.351.303.613,57;112.912
WDOFUT;21/12/2017;10:00:00;4.729,102;4.746,320;4.729,102;4.743,450;4.560.642.460,56;96.581
WDOFUT;21/12/2017;09:00:00;4.730,537;4.734,842;4.726,233;4.729,102;3.034.143.880,94;64.683
WDOFUT;20/12/2017;18:00:00;4.733,407;4.737,711;4.731,972;4.734,842;323.317.940,36;6.862
WDOFUT;20/12/2017;17:00:00;4.729,102;4.733,407;4.727,668;4.731,972;1.194.270.528,28;25.582
WDOFUT;20/12/2017;16:00:00;4.720,494;4.731,972;4.719,059;4.729,102;1.694.413.279,91;36.277
WDOFUT;20/12/2017;15:00:00;4.726,233;4.727,668;4.716,189;4.720,494;2.358.295.462,42;50.561
WDOFUT;20/12/2017;14:00:00;4.726,233;4.729,102;4.720,494;4.726,233;1.715.605.283,01;36.827
WDOFUT;20/12/2017;13:00:00;4.729,102;4.731,972;4.721,928;4.726,233;2.173.823.164,59;46.618
WDOFUT;20/12/2017;12:00:00;4.716,189;4.737,711;4.713,320;4.729,102;4.609.497.416,94;98.455
WDOFUT;20/12/2017;11:00:00;4.724,798;4.727,668;4.711,885;4.716,189;4.184.222.554,40;89.020
WDOFUT;20/12/2017;10:00:00;4.726,233;4.729,102;4.719,059;4.724,798;2.957.382.055,21;63.020
WDOFUT;20/12/2017;09:00:00;4.721,928;4.729,102;4.714,754;4.726,233;4.722.244.038,73;100.546
WDOFUT;19/12/2017;18:00:00;4.726,233;4.726,233;4.720,494;4.723,363;254.533.605,31;5.440
WDOFUT;19/12/2017;17:00:00;4.733,407;4.733,407;4.723,363;4.726,233;1.908.686.383,72;40.809
WDOFUT;19/12/2017;16:00:00;4.736,276;4.743,450;4.733,407;4.733,407;1.882.271.706,87;39.807
WDOFUT;19/12/2017;15:00:00;4.740,581;4.746,320;4.734,842;4.737,711;2.842.024.096,54;60.083
WDOFUT;19/12/2017;14:00:00;4.746,320;4.747,755;4.731,972;4.740,581;3.882.699.233,34;82.142
WDOFUT;19/12/2017;13:00:00;4.729,102;4.750,624;4.729,102;4.746,320;4.644.363.068,62;98.486
WDOFUT;19/12/2017;12:00:00;4.720,494;4.731,972;4.714,754;4.729,102;3.206.606.898,74;68.419
WDOFUT;19/12/2017;11:00:00;4.717,624;4.726,233;4.714,754;4.720,494;4.094.346.652,28;87.141
WDOFUT;19/12/2017;10:00:00;4.720,494;4.726,233;4.714,754;4.717,624;3.870.546.473,27;82.322
WDOFUT;19/12/2017;09:00:00;4.734,842;4.739,146;4.720,494;4.720,494;4.246.995.075,44;90.612
WDOFUT;18/12/2017;18:00:00;4.723,363;4.729,102;4.723,363;4.727,668;203.440.360,19;4.362
WDOFUT;18/12/2017;17:00:00;4.734,842;4.736,276;4.720,494;4.723,363;1.521.290.253,88;32.562
WDOFUT;18/12/2017;16:00:00;4.729,102;4.740,581;4.726,233;4.734,842;2.594.477.969,58;55.204
WDOFUT;18/12/2017;15:00:00;4.714,754;4.734,842;4.713,320;4.729,102;3.224.312.336,67;69.213
WDOFUT;18/12/2017;14:00:00;4.719,059;4.724,798;4.711,885;4.713,320;2.948.357.160,18;63.259
WDOFUT;18/12/2017;13:00:00;4.720,494;4.726,233;4.711,885;4.717,624;2.351.279.288,06;50.452
WDOFUT;18/12/2017;12:00:00;4.726,233;4.731,972;4.717,624;4.720,494;3.321.505.721,25;70.886
