Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;30/12/2021;18:20:00;166.287;166.476;166.248;166.319;954.549.397,53;28.689
WINFUT;30/12/2021;18:00:00;166.334;166.397;166.091;166.272;5.746.469.132,71;172.832
WINFUT;30/12/2021;17:40:00;166.531;166.539;166.201;166.334;11.512.104.440,51;345.980
WINFUT;30/12/2021;17:20:00;166.641;166.822;166.507;166.531;9.654.667.928,71;289.638
WINFUT;30/12/2021;17:00:00;166.853;166.916;166.602;166.633;8.518.267.465,00;255.431
WINFUT;30/12/2021;16:40:00;166.931;166.994;166.814;166.845;6.377.404.309,30;191.060
WINFUT;30/12/2021;16:20:00;166.979;167.041;166.829;166.939;6.551.176.597,14;196.229
WINFUT;30/12/2021;16:00:00;167.018;167.018;166.861;166.986;6.503.199.714,38;194.769
WINFUT;30/12/2021;15:40:00;167.065;167.073;166.853;167.010;9.485.875.613,58;284.059
WINFUT;30/12/2021;15:20:00;167.018;167.089;166.955;167.057;5.830.966.165,59;174.559
WINFUT;30/12/2021;15:00:00;167.034;167.175;166.900;167.010;10.024.543.996,05;300.085
WINFUT;30/12/2021;14:40:00;167.026;167.073;166.829;167.034;11.138.454.419,68;333.608
WINFUT;30/12/2021;14:20:00;167.002;167.301;166.939;167.026;12.103.100.215,13;362.091
WINFUT;30/12/2021;14:00:00;166.884;167.151;166.790;166.994;14.591.608.998,58;437.013
WINFUT;30/12/2021;13:40:00;166.492;166.924;166.397;166.884;12.234.760.619,52;366.991
WINFUT;30/12/2021;13:20:00;166.217;166.531;166.115;166.492;11.622.478.447,11;349.427
WINFUT;30/12/2021;13:00:00;166.452;166.602;166.162;166.209;11.935.430.302,75;358.649
WINFUT;30/12/2021;12:40:00;166.303;166.554;166.201;166.460;13.136.973.178,73;394.828
WINFUT;30/12/2021;12:20:00;166.484;166.782;166.272;166.303;15.955.076.628,91;479.069
WINFUT;30/12/2021;12:00:00;166.586;166.798;166.170;166.492;19.959.785.458,31;599.438
WINFUT;30/12/2021;11:40:00;166.429;166.939;166.256;166.594;22.906.926.504,79;687.532
WINFUT;30/12/2021;11:20:00;165.832;166.727;165.675;166.429;29.715.828.767,33;894.031
WINFUT;30/12/2021;11:00:00;166.154;166.342;165.368;165.832;32.303.345.532,44;973.683
WINFUT;30/12/2021;10:40:00;166.122;166.594;165.792;166.154;32.471.580.866,46;976.901
WINFUT;30/12/2021;10:20:00;166.012;166.523;165.722;166.122;29.794.702.649,22;896.850
WINFUT;30/12/2021;10:00:00;166.240;166.492;165.934;166.020;28.675.535.555,58;862.510
WINFUT;30/12/2021;09:40:00;165.879;166.248;165.832;166.248;17.386.149.885,34;523.577
WINFUT;30/12/2021;09:20:00;165.502;165.902;165.337;165.879;16.470.370.822,73;497.108
WINFUT;30/12/2021;09:00:00;165.274;165.816;165.243;165.502;13.986.817.004,69;422.405
WINFUT;29/12/2021;18:20:00;165.133;165.227;164.952;164.952;1.003.415.541,01;30.387
WINFUT;29/12/2021;18:00:00;165.140;165.376;165.078;165.140;5.720.872.696,83;173.105
WINFUT;29/12/2021;17:40:00;165.400;165.486;165.133;165.140;7.528.937.568,61;227.679
WINFUT;29/12/2021;17:20:00;165.392;165.549;165.345;165.408;7.688.074.887,72;232.345
WINFUT;29/12/2021;17:00:00;165.360;165.431;165.227;165.400;8.103.353.867,15;245.070
WINFUT;29/12/2021;16:40:00;165.557;165.557;165.290;165.360;8.966.360.385,01;270.985
WINFUT;29/12/2021;16:20:00;165.502;165.651;165.478;165.557;8.642.927.253,58;261.034
WINFUT;29/12/2021;16:00:00;165.392;165.533;165.305;165.510;8.486.919.710,98;256.507
WINFUT;29/12/2021;15:40:00;165.235;165.431;165.180;165.384;8.587.455.705,49;259.710
WINFUT;29/12/2021;15:20:00;165.250;165.392;165.125;165.227;10.179.204.446,48;307.969
WINFUT;29/12/2021;15:00:00;165.086;165.360;165.038;165.250;9.735.574.352,99;294.655
WINFUT;29/12/2021;14:40:00;165.086;165.148;164.928;165.086;10.024.932.790,45;303.735
WINFUT;29/12/2021;14:20:00;165.070;165.156;164.811;165.078;13.665.160.243,86;414.147
WINFUT;29/12/2021;14:00:00;165.518;165.525;165.015;165.062;13.858.563.525,23;419.385
WINFUT;29/12/2021;13:40:00;165.753;165.800;165.470;165.518;9.583.342.200,14;289.300
WINFUT;29/12/2021;13:20:00;165.847;165.902;165.620;165.745;10.615.845.578,37;320.174
WINFUT;29/12/2021;13:00:00;165.910;166.052;165.533;165.840;15.706.555.819,31;473.681
WINFUT;29/12/2021;12:40:00;165.651;166.130;165.620;165.918;19.130.853.027,00;576.553
WINFUT;29/12/2021;12:20:00;165.337;165.730;165.250;165.651;18.225.896.044,39;550.572
WINFUT;29/12/2021;12:00:00;166.115;166.138;164.976;165.337;33.855.797.807,37;1.022.744
WINFUT;29/12/2021;11:40:00;166.869;166.908;166.107;166.115;27.970.286.470,22;840.434
WINFUT;29/12/2021;11:20:00;167.065;167.206;166.688;166.861;26.253.132.305,55;786.341
WINFUT;29/12/2021;11:00:00;166.405;167.230;166.272;167.065;32.568.079.179,89;976.366
WINFUT;29/12/2021;10:40:00;166.067;166.507;165.651;166.405;32.333.092.531,01;973.135
WINFUT;29/12/2021;10:20:00;166.217;166.256;165.989;166.060;18.446.061.262,16;555.290
WINFUT;29/12/2021;10:00:00;166.869;166.931;166.099;166.225;39.252.389.092,92;1.178.780
WINFUT;29/12/2021;09:40:00;166.837;166.908;166.696;166.876;13.242.029.291,84;396.966
WINFUT;29/12/2021;09:20:00;166.617;166.955;166.586;166.837;17.357.905.009,86;520.381
WINFUT;29/12/2021;09:00:00;166.688;166.814;166.327;166.617;15.893.911.372,81;477.122
WINFUT;28/12/2021;18:20:00;166.531;166.641;166.468;166.468;886.054.751,88;26.606
WINFUT;28/12/2021;18:00:00;166.523;166.649;166.334;166.523;6.943.006.010,80;208.519
WINFUT;28/12/2021;17:40:00;166.562;166.735;166.405;166.523;9.923.821.676,96;297.906
WINFUT;28/12/2021;17:20:00;166.460;166.672;166.429;166.562;9.569.890.106,85;287.266
WINFUT;28/12/2021;17:00:00;166.389;166.547;166.334;166.468;7.738.615.624,98;232.438
WINFUT;28/12/2021;16:40:00;166.460;166.484;166.311;166.382;9.393.520.594,35;282.280
WINFUT;28/12/2021;16:20:00;166.421;166.570;166.303;166.460;12.319.993.144,13;370.082
WINFUT;28/12/2021;16:00:00;166.280;166.484;166.185;166.421;11.611.517.613,35;349.006
WINFUT;28/12/2021;15:40:00;166.389;166.429;166.162;166.280;13.926.737.584,96;418.738
WINFUT;28/12/2021;15:20:00;166.452;166.507;166.342;166.389;9.142.714.281,30;274.684
WINFUT;28/12/2021;15:00:00;166.389;166.547;166.374;166.444;11.989.926.795,80;360.123
WINFUT;28/12/2021;14:40:00;166.217;166.444;166.154;166.389;10.802.364.649,97;324.799
WINFUT;28/12/2021;14:20:00;166.350;166.444;166.012;166.217;17.977.012.349,80;540.716
WINFUT;28/12/2021;14:00:00;166.366;166.397;166.185;166.350;10.732.039.995,19;322.687
WINFUT;28/12/2021;13:40:00;166.523;166.554;166.193;166.366;15.244.249.278,16;458.200
WINFUT;28/12/2021;13:20:00;166.350;166.554;166.185;166.531;11.928.448.323,54;358.528
WINFUT;28/12/2021;13:00:00;166.240;166.444;166.146;166.342;11.287.231.380,33;339.364
WINFUT;28/12/2021;12:40:00;166.012;166.350;165.989;166.240;13.297.151.726,25;400.068
WINFUT;28/12/2021;12:20:00;166.515;166.657;165.942;166.020;21.001.084.091,96;631.556
WINFUT;28/12/2021;12:00:00;166.562;166.719;166.264;166.515;21.682.281.785,14;651.078
WINFUT;28/12/2021;11:40:00;166.617;166.680;165.957;166.554;27.868.617.279,03;837.842
WINFUT;28/12/2021;11:20:00;166.327;166.680;166.287;166.617;25.172.296.733,44;756.020
WINFUT;28/12/2021;11:00:00;166.688;166.712;166.162;166.319;27.794.875.830,69;835.314
WINFUT;28/12/2021;10:40:00;167.136;167.183;166.664;166.688;25.865.146.782,99;774.761
WINFUT;28/12/2021;10:20:00;167.591;167.756;167.104;167.128;27.107.592.683,18;809.494
WINFUT;28/12/2021;10:00:00;167.906;168.212;167.552;167.583;31.978.206.558,20;952.864
WINFUT;28/12/2021;09:40:00;167.851;168.173;167.827;167.906;17.939.612.872,66;533.896
WINFUT;28/12/2021;09:20:00;168.055;168.220;167.827;167.851;14.077.160.349,14;418.951
WINFUT;28/12/2021;09:00:00;168.259;168.361;167.921;168.055;16.153.773.252,95;480.366
WINFUT;27/12/2021;18:20:00;167.686;167.945;167.670;167.945;1.268.799.978,93;37.804
WINFUT;27/12/2021;18:00:00;167.576;167.686;167.411;167.686;6.896.697.645,16;205.789
WINFUT;27/12/2021;17:40:00;167.521;167.686;167.513;167.576;8.449.244.027,72;252.060
WINFUT;27/12/2021;17:20:00;167.631;167.733;167.473;167.521;10.617.469.885,44;316.735
WINFUT;27/12/2021;17:00:00;167.654;167.678;167.505;167.623;12.708.362.905,16;379.139
WINFUT;27/12/2021;16:40:00;167.906;167.929;167.638;167.654;12.555.457.411,46;374.159
WINFUT;27/12/2021;16:20:00;167.906;168.000;167.835;167.906;10.445.532.599,72;311.025
WINFUT;27/12/2021;16:00:00;167.772;167.961;167.764;167.913;10.911.624.237,58;324.998
WINFUT;27/12/2021;15:40:00;167.803;167.890;167.693;167.780;11.741.149.286,96;349.866
WINFUT;27/12/2021;15:20:00;167.733;167.866;167.638;167.803;12.501.916.333,02;372.605
WINFUT;27/12/2021;15:00:00;167.733;167.772;167.583;167.733;12.122.327.009,13;361.458
WINFUT;27/12/2021;14:40:00;167.788;167.827;167.654;167.733;9.337.730.551,48;278.341
WINFUT;27/12/2021;14:20:00;167.858;167.866;167.662;167.788;10.992.021.934,72;327.655
WINFUT;27/12/2021;14:00:00;167.528;167.921;167.497;167.866;15.380.954.483,73;458.514
WINFUT;27/12/2021;13:40:00;167.615;167.788;167.497;167.536;14.715.877.391,56;438.881
WINFUT;27/12/2021;13:20:00;167.741;167.811;167.591;167.615;14.400.432.224,42;429.363
WINFUT;27/12/2021;13:00:00;167.945;167.992;167.725;167.733;13.290.517.254,43;395.969
WINFUT;27/12/2021;12:40:00;167.788;168.039;167.772;167.945;15.384.303.332,84;458.122
WINFUT;27/12/2021;12:20:00;167.332;167.921;167.293;167.780;23.799.959.507,32;709.672
WINFUT;27/12/2021;12:00:00;167.057;167.379;166.806;167.340;20.035.996.212,95;599.566
WINFUT;27/12/2021;11:40:00;166.641;167.254;166.617;167.057;28.578.383.253,98;855.844
WINFUT;27/12/2021;11:20:00;167.387;167.497;166.602;166.641;31.159.053.947,32;932.613
WINFUT;27/12/2021;11:00:00;167.686;167.811;167.371;167.387;19.334.143.467,44;576.738
WINFUT;27/12/2021;10:40:00;167.725;167.866;167.458;167.686;20.006.289.332,87;596.545
WINFUT;27/12/2021;10:20:00;167.450;167.890;167.395;167.725;29.067.433.841,74;866.990
WINFUT;27/12/2021;10:00:00;166.735;167.458;166.688;167.442;27.761.217.700,17;830.277
WINFUT;27/12/2021;09:40:00;166.759;166.806;166.554;166.727;15.380.787.477,26;461.380
WINFUT;27/12/2021;09:20:00;166.594;166.861;166.507;166.751;12.002.142.614,02;360.084
WINFUT;27/12/2021;09:00:00;166.688;166.782;166.429;166.594;11.781.445.929,22;353.609
WINFUT;23/12/2021;18:20:00;166.311;166.382;165.902;165.902;1.544.130.656,84;46.466
WINFUT;23/12/2021;18:00:00;166.672;166.688;166.193;166.311;7.452.683.617,90;223.752
WINFUT;23/12/2021;17:40:00;166.688;166.876;166.602;166.672;10.887.499.205,25;326.486
WINFUT;23/12/2021;17:20:00;166.696;166.806;166.578;166.680;9.256.067.557,12;277.611
WINFUT;23/12/2021;17:00:00;166.641;166.719;166.547;166.696;10.102.884.113,40;303.132
WINFUT;23/12/2021;16:40:00;166.939;166.955;166.633;166.649;10.982.554.677,91;329.213
WINFUT;23/12/2021;16:20:00;166.939;167.002;166.837;166.939;8.661.613.532,02;259.465
WINFUT;23/12/2021;16:00:00;166.798;166.994;166.727;166.947;9.882.700.719,45;296.147
WINFUT;23/12/2021;15:40:00;166.829;166.947;166.743;166.798;10.630.402.259,12;318.533
WINFUT;23/12/2021;15:20:00;166.900;166.955;166.790;166.822;10.074.201.985,73;301.839
WINFUT;23/12/2021;15:00:00;166.798;166.924;166.735;166.900;11.400.628.323,14;341.685
WINFUT;23/12/2021;14:40:00;166.664;166.806;166.609;166.798;10.650.123.573,79;319.428
WINFUT;23/12/2021;14:20:00;166.499;166.790;166.437;166.664;12.034.266.915,97;361.090
WINFUT;23/12/2021;14:00:00;166.633;166.664;166.460;166.499;13.841.937.772,84;415.517
WINFUT;23/12/2021;13:40:00;166.476;166.712;166.429;166.633;12.267.741.960,62;368.238
WINFUT;23/12/2021;13:20:00;166.664;166.680;166.264;166.484;18.803.416.829,11;564.776
WINFUT;23/12/2021;13:00:00;166.814;166.892;166.523;166.664;19.328.726.995,36;579.687
WINFUT;23/12/2021;12:40:00;167.002;167.065;166.719;166.822;18.638.706.290,60;558.400
WINFUT;23/12/2021;12:20:00;166.884;167.049;166.664;167.010;21.109.857.187,62;632.569
WINFUT;23/12/2021;12:00:00;166.774;166.900;166.429;166.884;23.878.030.792,63;716.482
WINFUT;23/12/2021;11:40:00;166.876;166.892;166.499;166.774;26.357.822.018,35;790.603
WINFUT;23/12/2021;11:20:00;166.554;166.908;166.476;166.876;29.500.348.940,78;884.960
WINFUT;23/12/2021;11:00:00;166.743;166.853;166.444;166.554;25.385.152.615,14;761.542
WINFUT;23/12/2021;10:40:00;167.309;167.332;166.712;166.743;25.893.179.944,34;775.229
WINFUT;23/12/2021;10:20:00;167.403;167.419;167.096;167.309;24.024.550.202,10;718.121
WINFUT;23/12/2021;10:00:00;167.906;168.023;167.387;167.403;26.955.997.012,63;803.794
WINFUT;23/12/2021;09:40:00;168.125;168.220;167.866;167.906;15.808.075.763,07;470.406
