Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;28/12/2023;172.371;172.758;171.920;172.460;353.934.398.826,95;10.267.608
WINFUT;27/12/2023;171.889;172.777;171.470;172.739;359.961.151.391,27;10.458.214
WINFUT;26/12/2023;171.076;172.079;170.771;171.990;285.119.083.065,33;8.306.871
WINFUT;22/12/2023;170.238;171.279;169.997;170.740;416.409.973.490,93;12.202.311
WINFUT;21/12/2023;169.318;170.416;169.185;170.416;473.280.995.498,11;13.939.621
WINFUT;20/12/2023;169.616;170.524;168.245;168.499;510.236.349.536,84;15.047.630
WINFUT;19/12/2023;169.032;170.168;168.854;170.099;447.233.431.090,09;13.178.485
WINFUT;18/12/2023;168.144;169.470;168.137;168.988;390.883.047.217,56;11.574.534
WINFUT;15/12/2023;168.969;169.807;167.483;167.979;449.955.239.307,27;13.354.481
WINFUT;14/12/2023;168.366;169.286;168.086;168.728;495.580.427.849,12;14.690.348
WINFUT;13/12/2023;163.370;167.985;162.894;167.839;540.938.345.450,89;16.447.814
WINFUT;12/12/2023;164.513;164.745;162.705;163.370;428.037.787.306,11;13.090.538
WINFUT;11/12/2023;164.145;164.371;163.422;164.197;483.487.583.574,43;14.751.038
WINFUT;08/12/2023;163.228;164.623;162.266;164.294;561.715.625.367,12;17.179.789
WINFUT;07/12/2023;162.608;163.771;162.376;163.073;503.783.050.323,99;15.447.826
WINFUT;06/12/2023;164.623;165.120;162.350;162.350;530.355.589.620,02;16.200.051
WINFUT;05/12/2023;164.113;165.094;163.700;164.113;579.356.920.293,88;17.622.156
WINFUT;04/12/2023;165.191;165.527;163.997;164.384;468.987.632.465,81;14.238.413
WINFUT;01/12/2023;165.391;166.114;164.074;165.875;520.203.750.992,06;15.748.826
WINFUT;30/11/2023;163.984;165.230;163.499;165.036;498.257.411.158,91;15.156.871
WINFUT;29/11/2023;164.500;165.126;163.293;163.590;522.706.101.324,68;15.919.642
WINFUT;28/11/2023;162.841;164.662;162.641;164.242;515.402.944.233,02;15.741.785
WINFUT;27/11/2023;162.815;163.525;162.027;163.312;496.416.684.975,07;15.239.549
WINFUT;24/11/2023;164.436;164.448;162.744;163.131;406.566.744.951,87;12.444.093
WINFUT;23/11/2023;163.467;164.687;163.196;164.623;316.636.929.594,14;9.646.998
WINFUT;22/11/2023;163.493;164.926;163.009;163.796;566.180.575.318,32;17.252.696
WINFUT;21/11/2023;163.712;163.971;162.525;163.370;513.367.077.249,21;15.725.957
WINFUT;20/11/2023;162.905;164.132;162.492;164.113;447.609.184.559,55;13.700.890
WINFUT;17/11/2023;162.479;163.261;162.002;162.557;482.800.995.520,75;14.846.870
WINFUT;16/11/2023;160.723;162.473;160.271;162.473;567.223.283.938,34;17.572.742
WINFUT;14/11/2023;156.979;161.130;156.947;160.904;495.295.655.578,80;15.513.570
WINFUT;13/11/2023;156.953;157.089;156.062;157.030;482.608.266.865,66;15.403.370
WINFUT;10/11/2023;155.649;157.540;155.345;157.334;517.023.034.483,82;16.495.042
WINFUT;09/11/2023;155.649;156.837;154.332;155.326;620.123.034.836,85;19.897.899
WINFUT;08/11/2023;155.216;156.546;154.513;155.404;577.263.337.832,77;18.560.944
WINFUT;07/11/2023;154.106;156.075;153.647;155.520;538.722.604.778,67;17.359.528
WINFUT;06/11/2023;154.493;155.107;154.028;154.764;496.834.277.523,27;16.071.165
WINFUT;03/11/2023;152.059;154.784;151.995;154.668;509.246.484.546,88;16.556.260
WINFUT;01/11/2023;147.882;150.949;147.482;150.949;586.658.375.646,13;19.604.556
WINFUT;31/10/2023;147.521;148.463;146.443;148.063;585.951.672.467,67;19.838.003
WINFUT;30/10/2023;149.199;149.664;146.681;146.940;549.397.963.144,28;18.556.407
WINFUT;27/10/2023;150.639;150.891;147.637;148.437;612.685.384.235,37;20.495.892
WINFUT;26/10/2023;146.965;150.755;146.785;150.710;604.371.744.799,74;20.297.000
WINFUT;25/10/2023;149.006;149.386;147.430;147.598;541.849.521.305,98;18.272.696
WINFUT;24/10/2023;148.999;149.600;147.656;149.070;594.264.910.504,97;19.966.545
WINFUT;23/10/2023;147.572;148.973;146.920;147.992;556.868.563.818,40;18.819.195
WINFUT;20/10/2023;149.096;149.554;147.443;148.192;573.785.810.470,08;19.331.478
WINFUT;19/10/2023;149.328;150.968;149.206;149.361;629.509.756.734,65;20.984.495
WINFUT;18/10/2023;151.265;151.588;149.393;149.458;534.995.017.441,69;17.778.174
WINFUT;17/10/2023;152.268;153.356;151.507;151.717;534.282.706.378,20;17.538.195
WINFUT;16/10/2023;152.609;153.441;152.209;152.635;488.104.405.933,68;15.965.669
WINFUT;13/10/2023;152.478;153.638;151.671;151.920;491.845.095.748,48;16.105.059
WINFUT;11/10/2023;153.782;154.306;152.589;153.926;493.048.500.466,82;16.081.999
WINFUT;10/10/2023;151.953;153.631;151.750;153.081;488.654.380.275,06;15.981.873
WINFUT;09/10/2023;148.964;151.684;148.728;151.678;505.594.621.313,57;16.853.526
WINFUT;06/10/2023;149.200;150.504;146.656;150.380;604.085.432.486,01;20.323.637
WINFUT;05/10/2023;149.462;150.406;148.190;149.134;497.645.084.361,65;16.691.112
WINFUT;04/10/2023;149.842;150.223;148.702;149.174;520.481.820.608,42;17.412.423
WINFUT;03/10/2023;150.773;151.461;148.879;148.964;567.611.094.325,78;18.887.900
WINFUT;02/10/2023;153.395;153.782;151.075;151.534;494.268.942.674,28;16.238.939
WINFUT;29/09/2023;153.349;154.352;152.622;153.690;498.544.643.046,56;16.242.065
WINFUT;28/09/2023;150.773;152.897;150.373;152.832;526.777.638.745,82;17.370.812
WINFUT;27/09/2023;151.298;152.078;149.442;150.734;520.222.428.489,19;17.250.284
