Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;26/12/2023;134.760;136.100;134.520;135.850;786.943.489.498,00;29.032.693
WINFUT;18/12/2023;132.450;134.920;132.445;134.495;1.762.951.148.514,00;65.942.581
WINFUT;11/12/2023;127.125;133.760;126.010;132.320;1.876.871.684.469,00;72.334.219
WINFUT;04/12/2023;127.935;128.195;125.670;127.240;2.047.846.258.172,00;80.688.235
WINFUT;27/11/2023;126.095;128.650;125.485;128.465;1.977.205.579.102,00;77.806.673
WINFUT;20/11/2023;126.165;127.730;125.845;126.340;1.742.831.258.328,00;68.770.634
WINFUT;13/11/2023;121.555;126.440;120.865;125.895;1.570.564.645.793,00;63.336.552
WINFUT;06/11/2023;119.650;122.010;118.995;121.850;2.129.759.735.718,00;88.384.578
WINFUT;30/10/2023;115.550;119.875;113.415;119.785;1.728.034.268.466,00;74.555.226
WINFUT;23/10/2023;114.290;116.860;113.680;114.960;2.253.731.731.403,00;97.851.328
WINFUT;16/10/2023;116.400;117.400;114.190;114.770;2.126.060.359.973,00;91.598.011
WINFUT;09/10/2023;113.620;117.695;113.440;115.875;1.509.561.763.771,00;65.022.457
WINFUT;02/10/2023;117.000;117.295;111.860;114.700;2.047.251.786.407,00;89.554.011
WINFUT;25/09/2023;116.400;117.730;113.985;117.225;1.887.909.000.772,00;81.418.561
WINFUT;18/09/2023;119.750;120.700;116.635;117.110;1.937.933.376.260,00;81.591.628
WINFUT;11/09/2023;117.415;120.980;116.945;119.985;1.792.302.349.323,00;75.018.367
WINFUT;04/09/2023;119.300;120.135;116.030;116.600;1.326.614.922.553,00;56.046.894
WINFUT;28/08/2023;117.995;120.595;117.380;119.065;1.716.021.283.070,00;72.082.774
WINFUT;21/08/2023;117.845;120.500;116.100;117.700;1.843.599.301.136,00;78.008.741
WINFUT;14/08/2023;118.170;119.660;115.665;117.265;1.949.055.711.198,00;82.884.694
WINFUT;07/08/2023;120.160;120.495;117.550;118.290;1.962.446.272.700,00;82.499.997
WINFUT;31/07/2023;121.390;123.165;119.540;119.880;2.077.321.193.017,00;85.532.257
WINFUT;24/07/2023;121.220;124.260;120.090;120.720;1.825.901.937.736,00;74.701.177
WINFUT;17/07/2023;118.700;121.530;117.685;121.530;1.818.627.248.078,00;76.260.862
WINFUT;10/07/2023;119.930;121.175;117.030;118.960;1.748.562.070.590,00;73.109.385
WINFUT;03/07/2023;119.985;121.985;118.650;120.120;1.730.967.804.945,00;71.778.009
WINFUT;26/06/2023;120.960;121.550;118.375;119.500;1.814.523.329.361,00;75.633.729
WINFUT;19/06/2023;121.040;122.870;120.180;121.215;1.697.994.148.658,00;69.885.927
WINFUT;12/06/2023;117.450;122.255;116.425;121.075;1.721.050.810.427,00;71.857.597
WINFUT;05/06/2023;112.950;117.840;112.005;117.145;1.291.159.117.325,00;56.127.503
WINFUT;29/05/2023;111.800;113.475;108.675;113.200;1.572.940.702.435,00;71.112.899
WINFUT;22/05/2023;111.250;112.550;109.160;111.520;1.744.266.654.135,00;78.517.391
WINFUT;15/05/2023;110.100;112.125;108.770;111.450;1.640.953.339.876,00;74.310.630
WINFUT;08/05/2023;107.100;109.930;106.545;109.650;1.588.462.841.151,00;73.329.673
WINFUT;02/05/2023;105.175;106.945;102.320;106.580;1.278.544.308.341,00;61.508.838
WINFUT;24/04/2023;105.650;106.585;103.425;105.250;1.410.075.542.995,00;67.278.768
WINFUT;17/04/2023;108.880;109.375;104.735;106.140;1.234.744.920.294,00;57.673.056
WINFUT;10/04/2023;101.130;110.480;100.845;108.800;1.566.387.214.866,00;73.386.329
WINFUT;03/04/2023;102.240;103.320;100.055;101.330;1.196.898.647.160,00;58.950.899
WINFUT;27/03/2023;99.955;104.675;99.525;101.895;1.438.464.681.135,00;70.465.614
WINFUT;20/03/2023;102.760;103.080;97.250;99.540;1.489.961.259.566,00;73.941.833
WINFUT;13/03/2023;104.550;105.145;101.485;102.630;1.746.212.840.845,00;84.260.623
WINFUT;06/03/2023;104.800;108.000;104.155;104.750;1.756.719.869.233,00;82.829.786
WINFUT;27/02/2023;107.955;108.265;104.375;104.940;1.754.345.200.128,00;82.651.216
WINFUT;22/02/2023;109.885;110.365;106.805;107.490;821.171.626.732,00;37.802.588
WINFUT;13/02/2023;108.175;112.255;107.470;110.695;1.687.147.175.418,00;76.707.084
WINFUT;06/02/2023;108.350;110.870;107.120;108.055;1.816.672.529.195,00;83.582.478
WINFUT;30/01/2023;112.610;114.265;108.465;108.830;1.722.964.465.408,00;76.889.152
WINFUT;23/01/2023;113.200;115.585;111.870;112.860;1.664.933.906.435,00;73.195.579
WINFUT;16/01/2023;111.100;114.340;109.705;113.060;1.626.227.681.072,00;72.299.523
WINFUT;09/01/2023;109.335;114.190;108.800;111.990;1.776.393.014.311,00;79.474.348
WINFUT;02/01/2023;110.400;110.815;104.970;110.600;1.617.283.538.634,00;75.120.139
WINFUT;26/12/2022;111.240;112.850;108.945;111.035;1.115.489.819.046,00;50.234.335
WINFUT;19/12/2022;105.000;111.825;104.195;111.430;1.732.018.282.021,00;79.735.907
WINFUT;12/12/2022;107.895;107.895;103.095;104.710;1.775.899.636.769,00;84.331.678
WINFUT;05/12/2022;112.815;112.840;106.980;107.780;1.739.521.383.278,00;79.464.191
WINFUT;28/11/2022;108.550;114.200;107.915;112.235;1.766.016.276.353,00;79.224.892
WINFUT;21/11/2022;109.580;113.425;108.540;109.320;1.790.097.059.952,00;81.103.718
WINFUT;14/11/2022;113.155;115.460;108.105;109.590;1.569.354.396.506,00;70.403.778
WINFUT;07/11/2022;120.045;120.280;109.530;113.635;1.972.404.697.025,00;85.719.540
WINFUT;31/10/2022;113.000;121.605;112.500;119.270;1.672.501.086.426,00;70.820.538
WINFUT;24/10/2022;121.825;121.835;114.195;117.045;2.041.459.801.093,00;87.544.780
