Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOJ26;30/12/2025;17:40:00;5.610,000;5.610,000;5.607,000;5.607,000;504.675,00;9
WDOJ26;30/12/2025;17:00:00;5.610,000;5.610,000;5.610,000;5.610,000;56.100,00;1
WDOJ26;30/12/2025;16:40:00;5.612,000;5.612,000;5.612,000;5.612,000;56.120,00;1
WDOJ26;30/12/2025;16:20:00;5.614,000;5.614,000;5.614,000;5.614,000;56.140,00;1
WDOJ26;30/12/2025;14:40:00;5.609,000;5.609,000;5.609,000;5.609,000;56.090,00;1
WDOJ26;30/12/2025;13:20:00;5.611,000;5.611,000;5.611,000;5.611,000;56.110,00;1
WDOJ26;30/12/2025;11:40:00;5.613,000;5.613,000;5.613,000;5.613,000;56.130,00;1
WDOJ26;30/12/2025;10:40:00;5.620,000;5.620,000;5.620,000;5.620,000;56.200,00;1
WDOJ26;30/12/2025;10:20:00;5.628,000;5.628,000;5.624,000;5.624,000;168.780,00;3
WDOJ26;30/12/2025;09:20:00;5.649,500;5.649,500;5.649,500;5.649,500;56.495,00;1
WDOJ26;30/12/2025;09:00:00;5.681,000;5.681,000;5.659,000;5.659,000;510.335,00;9
WDOJ26;29/12/2025;18:20:00;5.694,000;5.694,000;5.694,000;5.694,000;56.940,00;1
WDOJ26;29/12/2025;17:40:00;5.694,000;5.694,000;5.694,000;5.694,000;56.940,00;1
WDOJ26;29/12/2025;17:00:00;5.688,500;5.688,500;5.684,500;5.684,500;170.595,00;3
WDOJ26;29/12/2025;16:40:00;5.703,500;5.703,500;5.690,500;5.690,500;398.795,00;7
WDOJ26;23/12/2025;18:00:00;5.646,500;5.646,500;5.646,500;5.646,500;56.465,00;1
WDOJ26;23/12/2025;16:00:00;5.656,500;5.656,500;5.656,500;5.656,500;56.565,00;1
WDOJ26;23/12/2025;10:20:00;5.706,000;5.708,500;5.706,000;5.707,500;171.220,00;3
WDOJ26;23/12/2025;10:00:00;5.707,000;5.707,000;5.707,000;5.707,000;57.070,00;1
WDOJ26;23/12/2025;09:40:00;5.709,000;5.709,000;5.708,000;5.708,000;114.170,00;2
WDOJ26;23/12/2025;09:00:00;5.713,000;5.713,000;5.707,500;5.707,500;342.610,00;6
WDOJ26;22/12/2025;16:00:00;5.709,500;5.709,500;5.705,500;5.705,500;285.375,00;5
WDOJ26;22/12/2025;15:40:00;5.714,500;5.714,500;5.710,500;5.710,500;285.625,00;5
WDOJ26;22/12/2025;14:40:00;5.716,000;5.716,000;5.715,000;5.715,000;114.310,00;2
WDOJ26;22/12/2025;12:40:00;5.675,000;5.675,000;5.675,000;5.675,000;56.750,00;1
WDOJ26;22/12/2025;09:00:00;5.640,000;5.640,000;5.640,000;5.640,000;56.400,00;1
WDOJ26;19/12/2025;14:40:00;5.647,500;5.647,500;5.647,500;5.647,500;56.475,00;1
WDOJ26;19/12/2025;11:20:00;5.628,500;5.628,500;5.628,500;5.628,500;56.285,00;1
WDOJ26;18/12/2025;12:40:00;5.634,000;5.634,000;5.634,000;5.634,000;56.340,00;1
WDOJ26;18/12/2025;09:00:00;5.638,500;5.638,500;5.638,500;5.638,500;56.385,00;1
WDOJ26;17/12/2025;17:20:00;5.643,000;5.643,000;5.643,000;5.643,000;56.430,00;1
WDOJ26;17/12/2025;14:40:00;5.642,000;5.642,000;5.642,000;5.642,000;56.420,00;1
WDOJ26;17/12/2025;14:00:00;5.644,000;5.644,000;5.644,000;5.644,000;56.440,00;1
WDOJ26;17/12/2025;12:40:00;5.650,000;5.650,000;5.650,000;5.650,000;565.000,00;10
WDOJ26;17/12/2025;12:00:00;5.638,000;5.638,000;5.638,000;5.638,000;56.380,00;1
WDOJ26;16/12/2025;18:00:00;5.610,000;5.610,000;5.610,000;5.610,000;1.122.000,00;20
WDOJ26;09/12/2025;10:20:00;5.610,000;5.610,000;5.610,000;5.610,000;561.000,00;10
WDOJ26;05/12/2025;16:20:00;5.576,000;5.576,000;5.576,000;5.576,000;278.800,00;5
WDOJ26;05/12/2025;12:40:00;5.490,000;5.490,000;5.490,000;5.490,000;54.900,00;1
