Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINJ26;30/12/2025;18:00:00;167.355;167.395;167.070;167.080;7.022.201,00;210
WINJ26;30/12/2025;17:30:00;167.655;167.660;167.300;167.385;8.808.587,00;263
WINJ26;30/12/2025;17:00:00;167.660;167.730;167.500;167.630;4.291.544,00;128
WINJ26;30/12/2025;16:30:00;167.650;167.740;167.555;167.685;1.508.883,00;45
WINJ26;30/12/2025;16:00:00;167.615;167.790;167.595;167.630;2.079.662,00;62
WINJ26;30/12/2025;15:30:00;167.815;167.815;167.550;167.600;3.486.870,00;104
WINJ26;30/12/2025;15:00:00;167.845;167.845;167.700;167.790;1.409.404,00;42
WINJ26;30/12/2025;14:30:00;167.795;167.875;167.740;167.820;4.900.423,00;146
WINJ26;30/12/2025;14:00:00;167.555;167.850;167.460;167.840;2.649.628,00;79
WINJ26;30/12/2025;13:30:00;167.670;167.810;167.565;167.650;5.736.884,00;171
WINJ26;30/12/2025;13:00:00;167.505;167.760;167.505;167.640;8.883.642,00;265
WINJ26;30/12/2025;12:30:00;167.160;167.555;167.130;167.505;4.386.575,00;131
WINJ26;30/12/2025;12:00:00;167.060;167.365;166.975;167.165;3.143.214,00;94
WINJ26;30/12/2025;11:30:00;167.455;167.455;166.970;167.015;4.715.728,00;141
WINJ26;30/12/2025;11:00:00;167.200;167.660;167.165;167.375;60.621.651,00;1.810
WINJ26;30/12/2025;10:30:00;167.820;167.990;167.205;167.205;42.299.939,00;1.262
WINJ26;30/12/2025;10:00:00;167.590;168.035;167.445;167.870;51.124.147,00;1.524
WINJ26;30/12/2025;09:30:00;167.520;167.975;167.450;167.740;46.091.010,00;1.374
WINJ26;30/12/2025;09:00:00;166.530;167.640;166.420;167.505;67.568.409,00;2.021
WINJ26;29/12/2025;18:00:00;166.210;166.420;166.130;166.420;70.362.085,00;2.116
WINJ26;29/12/2025;17:30:00;166.330;166.375;165.875;166.205;29.892.032,00;900
WINJ26;29/12/2025;17:00:00;166.175;166.385;166.175;166.300;1.663.071,00;50
WINJ26;29/12/2025;16:30:00;165.940;166.225;165.920;166.150;3.953.492,00;119
WINJ26;29/12/2025;16:00:00;165.800;165.980;165.735;165.950;2.819.742,00;85
WINJ26;29/12/2025;15:30:00;166.000;166.150;165.700;165.805;10.194.051,00;307
WINJ26;29/12/2025;15:00:00;166.185;166.350;165.940;166.000;13.125.952,00;395
WINJ26;29/12/2025;14:30:00;166.205;166.400;166.115;166.160;12.299.783,00;370
WINJ26;29/12/2025;14:00:00;166.130;166.175;165.975;166.150;14.452.418,00;435
