Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINJ26;30/12/2025;166.530;168.035;166.420;167.080;330.728.401,00;9.872
WINJ26;29/12/2025;167.145;167.555;165.700;166.420;350.874.626,00;10.540
WINJ26;26/12/2025;166.295;167.355;165.355;167.315;268.771.381,00;8.102
WINJ26;23/12/2025;164.310;166.780;164.220;166.500;562.872.148,00;16.948
WINJ26;22/12/2025;165.430;165.610;163.415;164.125;463.367.655,00;14.109
WINJ26;19/12/2025;164.250;165.965;164.250;165.200;230.187.058,00;6.966
WINJ26;18/12/2025;164.080;165.055;163.100;164.440;1.657.513.184,00;50.453
WINJ26;17/12/2025;164.410;164.850;162.770;163.790;138.322.605,00;4.223
WINJ26;16/12/2025;168.995;168.995;164.200;164.500;26.197.351,00;790
WINJ26;15/12/2025;168.025;169.860;168.025;169.465;2.267.913,00;67
WINJ26;12/12/2025;166.575;168.100;166.300;167.560;2.406.731,00;72
WINJ26;11/12/2025;165.815;166.800;164.825;166.200;1.162.555,00;35
WINJ26;10/12/2025;165.750;166.650;164.850;166.300;35.969.867,00;1.084
WINJ26;09/12/2025;165.000;165.725;162.700;164.700;3.912.008,00;119
WINJ26;08/12/2025;165.950;166.455;164.800;165.300;960.939,00;29
WINJ26;05/12/2025;171.890;172.450;164.335;164.650;131.226.085,00;3.826
WINJ26;04/12/2025;169.480;172.105;169.480;171.995;4.850.479,00;142
WINJ26;03/12/2025;168.990;169.345;168.745;169.100;2.164.219,00;64
WINJ26;02/12/2025;166.040;168.845;166.040;168.845;4.820.783,00;144
WINJ26;01/12/2025;166.975;166.975;165.500;166.180;3.659.462,00;110
WINJ26;28/11/2025;165.800;167.200;165.800;166.775;3.236.943,00;97
WINJ26;27/11/2025;166.370;166.370;165.810;166.010;398.452,00;12
WINJ26;26/11/2025;163.850;166.500;163.850;166.500;4.997.985,00;151
WINJ26;25/11/2025;163.300;164.000;162.500;163.500;8.050.606,00;247
WINJ26;24/11/2025;162.710;163.600;162.450;163.200;1.758.590,00;54
WINJ26;21/11/2025;161.865;162.930;161.495;162.695;8.175.304,00;252
