Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINJ26;29/12/2025;167.145;168.310;165.700;165.930;947.905.421,00;28.384
WINJ26;22/12/2025;165.430;167.355;163.415;167.315;1.295.011.184,00;39.159
WINJ26;15/12/2025;168.025;169.860;162.770;165.200;2.054.488.111,00;62.499
WINJ26;08/12/2025;165.950;168.100;162.700;167.560;44.412.100,00;1.339
WINJ26;01/12/2025;166.975;172.450;164.335;164.650;146.721.028,00;4.286
WINJ26;24/11/2025;162.710;167.200;162.450;166.775;18.442.576,00;561
WINJ26;17/11/2025;165.475;166.000;161.495;162.695;13.467.301,00;413
WINJ26;10/11/2025;163.000;166.635;161.500;165.780;21.558.643,00;653
WINJ26;03/11/2025;158.300;162.500;157.925;162.415;9.723.193,00;303
WINJ26;27/10/2025;155.750;158.195;155.000;158.195;5.296.646,00;169
WINJ26;20/10/2025;152.165;155.750;152.120;154.750;9.103.511,00;296
WINJ26;13/10/2025;151.120;152.115;149.910;151.805;5.596.539,00;185
WINJ26;06/10/2025;153.185;153.250;150.050;150.050;1.514.455,00;50
WINJ26;29/09/2025;156.400;157.800;153.500;153.750;3.733.159,00;120
WINJ26;22/09/2025;154.500;157.800;154.500;155.550;3.091.302,00;99
WINJ26;15/09/2025;153.200;156.550;153.200;156.150;3.497.697,00;113
WINJ26;08/09/2025;153.750;154.200;152.000;153.200;1.040.276,00;34
WINJ26;01/09/2025;152.765;153.485;150.500;153.485;1.727.513,00;57
WINJ26;25/08/2025;149.000;153.110;148.200;153.000;1.325.065,00;44
WINJ26;22/08/2025;149.000;149.000;149.000;149.000;29.800,00;1
